average flux in [cosZ = 0.30 --  0.40, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.1817E+04 1.2013E+04 5.6587E+03 5.5991E+03
1.1220E-01 1.0303E+04 1.0425E+04 4.9751E+03 4.8735E+03
1.2589E-01 8.9416E+03 9.0206E+03 4.3307E+03 4.2019E+03
1.4125E-01 7.7034E+03 7.7504E+03 3.7449E+03 3.5914E+03
1.5849E-01 6.5802E+03 6.5998E+03 3.2133E+03 3.0365E+03
1.7783E-01 5.5659E+03 5.5633E+03 2.7330E+03 2.5546E+03
1.9953E-01 4.6573E+03 4.6421E+03 2.3092E+03 2.1337E+03
2.2387E-01 3.8565E+03 3.8370E+03 1.9333E+03 1.7643E+03
2.5119E-01 3.1645E+03 3.1413E+03 1.6085E+03 1.4493E+03
2.8184E-01 2.5721E+03 2.5548E+03 1.3238E+03 1.1811E+03
3.1623E-01 2.0736E+03 2.0578E+03 1.0783E+03 9.5192E+02
3.5481E-01 1.6618E+03 1.6442E+03 8.7543E+02 7.6069E+02
3.9811E-01 1.3226E+03 1.3064E+03 7.0394E+02 6.0563E+02
4.4668E-01 1.0469E+03 1.0302E+03 5.6064E+02 4.7755E+02
5.0119E-01 8.2320E+02 8.0732E+02 4.4251E+02 3.7455E+02
5.6234E-01 6.4253E+02 6.2778E+02 3.4746E+02 2.9113E+02
6.3096E-01 4.9785E+02 4.8562E+02 2.7216E+02 2.2490E+02
7.0795E-01 3.8289E+02 3.7346E+02 2.1032E+02 1.7334E+02
7.9433E-01 2.9323E+02 2.8594E+02 1.6170E+02 1.3222E+02
8.9125E-01 2.2329E+02 2.1724E+02 1.2408E+02 1.0022E+02
1.0000E+00 1.7011E+02 1.6460E+02 9.3873E+01 7.5672E+01
1.1220E+00 1.2898E+02 1.2431E+02 7.0651E+01 5.6599E+01
1.2589E+00 9.7242E+01 9.3329E+01 5.2874E+01 4.2146E+01
1.4125E+00 7.2973E+01 6.9697E+01 3.9410E+01 3.1290E+01
1.5849E+00 5.4651E+01 5.1765E+01 2.9299E+01 2.3068E+01
1.7783E+00 4.0729E+01 3.8331E+01 2.1613E+01 1.6835E+01
1.9953E+00 3.0140E+01 2.8183E+01 1.5849E+01 1.2276E+01
2.2387E+00 2.2221E+01 2.0654E+01 1.1528E+01 8.9291E+00
2.5119E+00 1.6327E+01 1.5087E+01 8.3190E+00 6.3887E+00
2.8184E+00 1.1918E+01 1.0898E+01 5.9287E+00 4.5594E+00
3.1623E+00 8.7236E+00 7.9451E+00 4.2684E+00 3.2611E+00
3.5481E+00 6.3414E+00 5.7337E+00 3.0381E+00 2.3099E+00
3.9811E+00 4.5893E+00 4.1276E+00 2.1419E+00 1.6216E+00
