average flux in [cosZ = 0.80 --  0.90, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 8.4125E+03 8.5383E+03 4.1117E+03 4.0131E+03
1.1220E-01 7.6030E+03 7.7022E+03 3.7141E+03 3.5983E+03
1.2589E-01 6.8270E+03 6.8966E+03 3.3197E+03 3.1833E+03
1.4125E-01 6.0758E+03 6.1243E+03 2.9332E+03 2.7845E+03
1.5849E-01 5.3451E+03 5.3769E+03 2.5666E+03 2.4146E+03
1.7783E-01 4.6452E+03 4.6604E+03 2.2290E+03 2.0712E+03
1.9953E-01 3.9865E+03 3.9844E+03 1.9168E+03 1.7589E+03
2.2387E-01 3.3737E+03 3.3622E+03 1.6288E+03 1.4769E+03
2.5119E-01 2.8210E+03 2.8050E+03 1.3685E+03 1.2253E+03
2.8184E-01 2.3328E+03 2.3126E+03 1.1350E+03 1.0066E+03
3.1623E-01 1.9055E+03 1.8845E+03 9.2945E+02 8.1553E+02
3.5481E-01 1.5401E+03 1.5176E+03 7.5475E+02 6.5179E+02
3.9811E-01 1.2330E+03 1.2085E+03 6.0586E+02 5.1581E+02
4.4668E-01 9.7779E+02 9.5472E+02 4.8030E+02 4.0470E+02
5.0119E-01 7.6742E+02 7.4550E+02 3.7622E+02 3.1479E+02
5.6234E-01 5.9618E+02 5.7529E+02 2.9130E+02 2.4186E+02
6.3096E-01 4.5955E+02 4.4124E+02 2.2366E+02 1.8347E+02
7.0795E-01 3.5162E+02 3.3566E+02 1.7033E+02 1.3804E+02
7.9433E-01 2.6672E+02 2.5347E+02 1.2810E+02 1.0294E+02
8.9125E-01 2.0166E+02 1.9037E+02 9.5356E+01 7.6319E+01
1.0000E+00 1.5179E+02 1.4231E+02 7.0717E+01 5.6009E+01
1.1220E+00 1.1382E+02 1.0569E+02 5.1922E+01 4.0872E+01
1.2589E+00 8.4921E+01 7.8049E+01 3.7901E+01 2.9692E+01
1.4125E+00 6.3279E+01 5.7360E+01 2.7471E+01 2.1362E+01
1.5849E+00 4.7033E+01 4.2072E+01 1.9712E+01 1.5290E+01
1.7783E+00 3.4650E+01 3.0731E+01 1.4124E+01 1.0903E+01
1.9953E+00 2.5398E+01 2.2334E+01 1.0080E+01 7.7276E+00
2.2387E+00 1.8565E+01 1.6159E+01 7.0968E+00 5.4357E+00
2.5119E+00 1.3538E+01 1.1652E+01 4.9639E+00 3.8101E+00
2.8184E+00 9.8329E+00 8.3708E+00 3.4681E+00 2.6545E+00
3.1623E+00 7.1775E+00 6.0095E+00 2.4071E+00 1.8324E+00
3.5481E+00 5.2026E+00 4.3058E+00 1.6635E+00 1.2603E+00
3.9811E+00 3.7551E+00 3.0755E+00 1.1435E+00 8.6727E-01
4.4668E+00 2.7099E+00 2.2003E+00 7.8139E-01 5.9377E-01
5.0119E+00 1.9559E+00 1.5729E+00 5.3072E-01 4.0245E-01
5.6234E+00 1.4077E+00 1.1210E+00 3.6162E-01 2.7185E-01
6.3096E+00 1.0073E+00 7.9612E-01 2.4514E-01 1.8402E-01
7.0795E+00 7.2049E-01 5.6405E-01 1.6498E-01 1.2462E-01
7.9433E+00 5.1576E-01 4.0222E-01 1.1209E-01 8.4472E-02
8.9125E+00 3.6917E-01 2.8563E-01 7.5097E-02 5.6703E-02
1.0000E+01 2.6338E-01 2.0209E-01 4.9833E-02 3.7799E-02
1.1220E+01 1.8753E-01 1.4342E-01 3.3358E-02 2.5257E-02
1.2589E+01 1.3357E-01 1.0131E-01 2.2241E-02 1.6959E-02
1.4125E+01 9.5261E-02 7.1673E-02 1.4794E-02 1.1362E-02
1.5849E+01 6.7766E-02 5.0794E-02 9.8344E-03 7.5074E-03
1.7783E+01 4.8301E-02 3.5895E-02 6.5231E-03 5.0007E-03
1.9953E+01 3.4346E-02 2.5332E-02 4.3637E-03 3.3399E-03
2.2387E+01 2.4347E-02 1.7880E-02 2.9202E-03 2.2141E-03
2.5119E+01 1.7264E-02 1.2627E-02 1.9213E-03 1.5024E-03
2.8184E+01 1.2255E-02 8.9137E-03 1.2694E-03 1.0173E-03
3.1623E+01 8.6721E-03 6.2874E-03 8.5036E-04 6.7151E-04
3.5481E+01 6.1245E-03 4.4282E-03 5.6679E-04 4.5043E-04
3.9811E+01 4.3306E-03 3.1119E-03 3.7892E-04 3.0172E-04
4.4668E+01 3.0604E-03 2.1856E-03 2.5421E-04 2.0238E-04
5.0119E+01 2.1552E-03 1.5349E-03 1.7001E-04 1.3621E-04
5.6234E+01 1.5181E-03 1.0754E-03 1.1328E-04 9.1299E-05
6.3096E+01 1.0676E-03 7.5193E-04 7.5293E-05 6.1228E-05
7.0795E+01 7.4884E-04 5.2533E-04 5.0311E-05 4.1302E-05
7.9433E+01 5.2614E-04 3.6579E-04 3.4024E-05 2.7690E-05
8.9125E+01 3.6868E-04 2.5524E-04 2.3230E-05 1.8717E-05
1.0000E+02 2.5904E-04 1.7824E-04 1.5702E-05 1.2698E-05
1.1220E+02 1.8118E-04 1.2412E-04 1.0582E-05 8.5963E-06
1.2589E+02 1.2674E-04 8.6312E-05 7.1243E-06 5.8192E-06
1.4125E+02 8.8727E-05 6.0046E-05 4.8084E-06 3.9302E-06
1.5849E+02 6.1939E-05 4.1629E-05 3.2561E-06 2.6484E-06
1.7783E+02 4.3186E-05 2.8817E-05 2.2096E-06 1.7841E-06
1.9953E+02 3.0136E-05 1.9950E-05 1.4978E-06 1.2078E-06
2.2387E+02 2.1015E-05 1.3830E-05 1.0132E-06 8.0889E-07
2.5119E+02 1.4619E-05 9.5687E-06 6.9005E-07 5.4245E-07
2.8184E+02 1.0161E-05 6.6050E-06 4.6436E-07 3.6888E-07
3.1623E+02 7.0787E-06 4.5615E-06 3.1262E-07 2.4989E-07
3.5481E+02 4.8961E-06 3.1314E-06 2.1151E-07 1.6939E-07
3.9811E+02 3.3953E-06 2.1574E-06 1.4280E-07 1.1412E-07
4.4668E+02 2.3468E-06 1.4809E-06 9.6015E-08 7.6377E-08
5.0119E+02 1.6217E-06 1.0159E-06 6.5025E-08 5.1166E-08
5.6234E+02 1.1272E-06 7.0086E-07 4.3909E-08 3.4224E-08
6.3096E+02 7.6944E-07 4.7653E-07 2.9360E-08 2.2901E-08
7.0795E+02 5.2794E-07 3.2560E-07 1.9774E-08 1.5353E-08
7.9433E+02 3.6263E-07 2.2111E-07 1.3200E-08 1.0259E-08
8.9125E+02 2.4802E-07 1.5044E-07 8.8206E-09 6.7531E-09
1.0000E+03 1.7058E-07 1.0315E-07 5.9673E-09 4.5765E-09
1.1220E+03 1.1506E-07 6.8959E-08 3.9974E-09 3.0446E-09
1.2589E+03 7.7928E-08 4.6547E-08 2.6704E-09 2.0234E-09
1.4125E+03 5.2712E-08 3.1406E-08 1.7925E-09 1.3485E-09
1.5849E+03 3.5643E-08 2.1068E-08 1.1898E-09 8.8408E-10
1.7783E+03 2.3963E-08 1.4079E-08 7.6926E-10 5.6934E-10
1.9953E+03 1.6103E-08 9.4805E-09 5.1072E-10 3.8063E-10
2.2387E+03 1.0806E-08 6.3374E-09 3.3962E-10 2.4860E-10
2.5119E+03 7.2468E-09 4.2069E-09 2.2629E-10 1.6549E-10
2.8184E+03 4.8230E-09 2.8046E-09 1.4836E-10 1.1091E-10
3.1623E+03 3.3229E-09 1.9164E-09 9.9468E-11 7.2157E-11
3.5481E+03 2.1374E-09 1.2305E-09 6.4734E-11 4.7476E-11
3.9811E+03 1.4201E-09 8.1503E-10 4.2237E-11 3.0522E-11
4.4668E+03 9.4229E-10 5.3570E-10 2.7524E-11 1.9689E-11
5.0119E+03 6.2152E-10 3.5089E-10 1.7718E-11 1.3169E-11
5.6234E+03 4.1153E-10 2.3158E-10 1.1747E-11 8.5306E-12
6.3096E+03 2.7129E-10 1.5294E-10 7.9748E-12 5.4838E-12
7.0795E+03 1.7853E-10 1.0016E-10 5.2267E-12 3.6240E-12
7.9433E+03 1.1778E-10 6.5730E-11 3.3766E-12 2.4039E-12
8.9125E+03 7.7317E-11 4.3068E-11 2.2115E-12 1.6165E-12
1.0000E+04 5.0453E-11 2.8028E-11 1.4001E-12 1.0517E-12
