average flux in [cosZ =-0.10 --  0.00, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 3.1709E+04 3.2386E+04 1.4988E+04 1.4757E+04
1.1220E-01 2.6482E+04 2.6912E+04 1.2648E+04 1.2371E+04
1.2589E-01 2.1935E+04 2.2258E+04 1.0595E+04 1.0295E+04
1.4125E-01 1.8076E+04 1.8259E+04 8.8088E+03 8.4302E+03
1.5849E-01 1.4730E+04 1.4830E+04 7.2374E+03 6.8342E+03
1.7783E-01 1.1874E+04 1.1899E+04 5.9026E+03 5.4884E+03
1.9953E-01 9.4885E+03 9.4494E+03 4.7805E+03 4.3938E+03
2.2387E-01 7.4713E+03 7.4278E+03 3.8594E+03 3.4703E+03
2.5119E-01 5.8023E+03 5.7800E+03 3.0831E+03 2.7169E+03
2.8184E-01 4.4734E+03 4.4517E+03 2.4113E+03 2.1232E+03
3.1623E-01 3.4146E+03 3.3939E+03 1.8693E+03 1.6325E+03
3.5481E-01 2.5968E+03 2.5922E+03 1.4457E+03 1.2483E+03
3.9811E-01 1.9758E+03 1.9630E+03 1.1128E+03 9.4712E+02
4.4668E-01 1.4976E+03 1.4822E+03 8.5620E+02 7.1261E+02
5.0119E-01 1.1268E+03 1.1194E+03 6.5260E+02 5.4016E+02
5.6234E-01 8.3867E+02 8.3393E+02 4.9509E+02 4.0837E+02
6.3096E-01 6.2836E+02 6.2376E+02 3.7062E+02 3.0584E+02
7.0795E-01 4.7258E+02 4.6691E+02 2.7663E+02 2.2732E+02
7.9433E-01 3.5216E+02 3.4555E+02 2.0996E+02 1.6932E+02
8.9125E-01 2.6073E+02 2.5601E+02 1.5816E+02 1.2759E+02
1.0000E+00 1.9689E+02 1.9285E+02 1.1703E+02 9.3898E+01
1.1220E+00 1.4768E+02 1.4367E+02 8.7362E+01 6.9937E+01
1.2589E+00 1.1026E+02 1.0712E+02 6.5316E+01 5.2367E+01
1.4125E+00 8.2277E+01 7.9409E+01 4.8359E+01 3.8962E+01
1.5849E+00 6.1338E+01 5.9195E+01 3.6032E+01 2.8817E+01
1.7783E+00 4.5882E+01 4.3969E+01 2.6780E+01 2.1314E+01
1.9953E+00 3.4173E+01 3.2276E+01 1.9752E+01 1.5751E+01
2.2387E+00 2.5205E+01 2.3750E+01 1.4708E+01 1.1664E+01
2.5119E+00 1.8514E+01 1.7651E+01 1.0960E+01 8.6879E+00
2.8184E+00 1.3648E+01 1.3131E+01 8.0835E+00 6.4280E+00
3.1623E+00 1.0079E+01 9.6123E+00 5.9164E+00 4.5579E+00
3.5481E+00 7.4194E+00 7.0388E+00 4.3342E+00 3.3388E+00
3.9811E+00 5.4279E+00 5.1425E+00 3.1755E+00 2.4449E+00
4.4668E+00 3.9905E+00 3.7752E+00 2.3022E+00 1.7787E+00
5.0119E+00 2.9198E+00 2.7690E+00 1.6701E+00 1.2646E+00
5.6234E+00 2.1120E+00 1.9991E+00 1.2083E+00 9.0384E-01
6.3096E+00 1.5316E+00 1.4526E+00 8.6671E-01 6.5147E-01
7.0795E+00 1.1183E+00 1.0641E+00 6.2427E-01 4.6659E-01
7.9433E+00 8.1040E-01 7.7079E-01 4.4906E-01 3.3808E-01
8.9125E+00 5.8257E-01 5.5079E-01 3.1910E-01 2.4073E-01
1.0000E+01 4.2480E-01 3.9959E-01 2.3159E-01 1.7337E-01
1.1220E+01 3.0490E-01 2.8760E-01 1.6484E-01 1.2277E-01
1.2589E+01 2.2011E-01 2.0636E-01 1.1547E-01 8.7044E-02
1.4125E+01 1.5844E-01 1.4743E-01 8.1336E-02 6.1515E-02
1.5849E+01 1.1367E-01 1.0551E-01 5.7427E-02 4.3129E-02
1.7783E+01 8.1730E-02 7.5592E-02 4.0388E-02 3.0154E-02
1.9953E+01 5.8889E-02 5.4153E-02 2.8399E-02 2.0931E-02
2.2387E+01 4.2514E-02 3.9085E-02 1.9556E-02 1.4784E-02
2.5119E+01 3.0234E-02 2.7691E-02 1.3484E-02 1.0386E-02
2.8184E+01 2.1503E-02 1.9594E-02 9.5239E-03 7.2863E-03
3.1623E+01 1.5718E-02 1.4194E-02 6.6670E-03 5.0672E-03
3.5481E+01 1.1261E-02 1.0084E-02 4.5968E-03 3.5032E-03
3.9811E+01 8.0665E-03 7.1688E-03 3.1605E-03 2.4136E-03
4.4668E+01 5.7764E-03 5.0879E-03 2.1634E-03 1.6590E-03
5.0119E+01 4.1290E-03 3.6070E-03 1.4778E-03 1.1375E-03
5.6234E+01 2.9482E-03 2.5583E-03 1.0076E-03 7.7697E-04
6.3096E+01 2.1052E-03 1.8099E-03 6.8592E-04 5.3016E-04
7.0795E+01 1.5011E-03 1.2771E-03 4.6532E-04 3.6027E-04
7.9433E+01 1.0700E-03 9.0240E-04 3.1393E-04 2.4349E-04
8.9125E+01 7.6144E-04 6.3760E-04 2.1220E-04 1.6417E-04
1.0000E+02 5.4220E-04 4.4918E-04 1.4240E-04 1.1055E-04
1.1220E+02 3.8567E-04 3.1647E-04 9.5396E-05 7.4315E-05
1.2589E+02 2.7373E-04 2.2236E-04 6.3905E-05 4.9874E-05
1.4125E+02 1.9412E-04 1.5608E-04 4.2602E-05 3.3386E-05
1.5849E+02 1.3745E-04 1.0957E-04 2.8297E-05 2.2230E-05
1.7783E+02 9.7191E-05 7.6826E-05 1.8786E-05 1.4748E-05
1.9953E+02 6.8778E-05 5.3806E-05 1.2429E-05 9.7809E-06
2.2387E+02 4.8571E-05 3.7605E-05 8.2504E-06 6.4838E-06
2.5119E+02 3.4227E-05 2.6242E-05 5.4397E-06 4.2712E-06
2.8184E+02 2.4140E-05 1.8317E-05 3.5601E-06 2.8019E-06
3.1623E+02 1.6989E-05 1.2767E-05 2.3580E-06 1.8570E-06
3.5481E+02 1.1940E-05 8.8923E-06 1.5499E-06 1.2251E-06
3.9811E+02 8.3816E-06 6.1862E-06 1.0160E-06 8.0535E-07
4.4668E+02 5.8772E-06 4.2956E-06 6.6554E-07 5.2862E-07
5.0119E+02 4.1192E-06 2.9771E-06 4.3644E-07 3.4847E-07
5.6234E+02 2.8894E-06 2.0684E-06 2.8729E-07 2.2815E-07
6.3096E+02 2.0205E-06 1.4316E-06 1.8860E-07 1.4990E-07
7.0795E+02 1.4122E-06 9.8850E-07 1.2380E-07 9.8785E-08
7.9433E+02 9.8606E-07 6.8382E-07 8.1481E-08 6.4796E-08
8.9125E+02 6.8824E-07 4.7307E-07 5.3418E-08 4.2698E-08
1.0000E+03 4.8047E-07 3.2662E-07 3.5076E-08 2.7838E-08
1.1220E+03 3.3488E-07 2.2508E-07 2.3065E-08 1.8342E-08
1.2589E+03 2.3298E-07 1.5527E-07 1.5241E-08 1.2133E-08
1.4125E+03 1.6206E-07 1.0691E-07 1.0081E-08 7.9335E-09
1.5849E+03 1.1283E-07 7.3692E-08 6.6569E-09 5.2560E-09
1.7783E+03 7.8315E-08 5.0686E-08 4.4059E-09 3.5116E-09
1.9953E+03 5.4399E-08 3.4822E-08 2.9339E-09 2.2973E-09
2.2387E+03 3.7711E-08 2.3893E-08 1.9473E-09 1.5026E-09
