average flux in [cosZ =-0.20 -- -0.10, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.9117E+04 1.9448E+04 9.2759E+03 8.8029E+03
1.1220E-01 1.6104E+04 1.6360E+04 7.9464E+03 7.4833E+03
1.2589E-01 1.3548E+04 1.3705E+04 6.7181E+03 6.2718E+03
1.4125E-01 1.1325E+04 1.1394E+04 5.6314E+03 5.2006E+03
1.5849E-01 9.3490E+03 9.4008E+03 4.6873E+03 4.2719E+03
1.7783E-01 7.6428E+03 7.6789E+03 3.8827E+03 3.4882E+03
1.9953E-01 6.1858E+03 6.1914E+03 3.1895E+03 2.8332E+03
2.2387E-01 4.9509E+03 4.9491E+03 2.5975E+03 2.2770E+03
2.5119E-01 3.9223E+03 3.9251E+03 2.0960E+03 1.8153E+03
2.8184E-01 3.0873E+03 3.0835E+03 1.6757E+03 1.4385E+03
3.1623E-01 2.4081E+03 2.4128E+03 1.3242E+03 1.1285E+03
3.5481E-01 1.8674E+03 1.8756E+03 1.0394E+03 8.7992E+02
3.9811E-01 1.4454E+03 1.4465E+03 8.1457E+02 6.8288E+02
4.4668E-01 1.1164E+03 1.1139E+03 6.3375E+02 5.2738E+02
5.0119E-01 8.5672E+02 8.5403E+02 4.9086E+02 4.0563E+02
5.6234E-01 6.5711E+02 6.5286E+02 3.7873E+02 3.1105E+02
6.3096E-01 5.0310E+02 4.9903E+02 2.9055E+02 2.3767E+02
7.0795E-01 3.8367E+02 3.7994E+02 2.2274E+02 1.8101E+02
7.9433E-01 2.9283E+02 2.8781E+02 1.6981E+02 1.3806E+02
8.9125E-01 2.2278E+02 2.1908E+02 1.2895E+02 1.0495E+02
1.0000E+00 1.6974E+02 1.6622E+02 9.8189E+01 7.9141E+01
1.1220E+00 1.2910E+02 1.2611E+02 7.4382E+01 5.9650E+01
1.2589E+00 9.7678E+01 9.5413E+01 5.6449E+01 4.4991E+01
1.4125E+00 7.4009E+01 7.1821E+01 4.2576E+01 3.3946E+01
1.5849E+00 5.5976E+01 5.3775E+01 3.2125E+01 2.5572E+01
1.7783E+00 4.2017E+01 4.0255E+01 2.4144E+01 1.9035E+01
1.9953E+00 3.1443E+01 3.0210E+01 1.8055E+01 1.4163E+01
2.2387E+00 2.3577E+01 2.2538E+01 1.3346E+01 1.0563E+01
2.5119E+00 1.7562E+01 1.6665E+01 9.9206E+00 7.7319E+00
2.8184E+00 1.3014E+01 1.2298E+01 7.3762E+00 5.6708E+00
3.1623E+00 9.5582E+00 9.0438E+00 5.3653E+00 4.1396E+00
3.5481E+00 7.0265E+00 6.6241E+00 3.9155E+00 2.9965E+00
3.9811E+00 5.1528E+00 4.8374E+00 2.8335E+00 2.1671E+00
4.4668E+00 3.7670E+00 3.5279E+00 2.0423E+00 1.5629E+00
5.0119E+00 2.7421E+00 2.5587E+00 1.4714E+00 1.1129E+00
5.6234E+00 1.9893E+00 1.8547E+00 1.0543E+00 7.9455E-01
6.3096E+00 1.4415E+00 1.3406E+00 7.4891E-01 5.6671E-01
7.0795E+00 1.0347E+00 9.5857E-01 5.3087E-01 4.0008E-01
7.9433E+00 7.4384E-01 6.9055E-01 3.7538E-01 2.8222E-01
8.9125E+00 5.3815E-01 4.9629E-01 2.6458E-01 1.9755E-01
1.0000E+01 3.8664E-01 3.5161E-01 1.8517E-01 1.3687E-01
1.1220E+01 2.7784E-01 2.5111E-01 1.2815E-01 9.5560E-02
1.2589E+01 1.9841E-01 1.7934E-01 8.8977E-02 6.6252E-02
