average flux in [cosZ =-0.80 -- -0.70, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 6.2061E+03 6.2891E+03 3.0445E+03 2.9599E+03
1.1220E-01 5.5963E+03 5.6634E+03 2.7432E+03 2.6503E+03
1.2589E-01 5.0098E+03 5.0652E+03 2.4526E+03 2.3428E+03
1.4125E-01 4.4560E+03 4.4849E+03 2.1761E+03 2.0535E+03
1.5849E-01 3.9183E+03 3.9389E+03 1.9110E+03 1.7868E+03
1.7783E-01 3.4050E+03 3.4195E+03 1.6598E+03 1.5377E+03
1.9953E-01 2.9263E+03 2.9257E+03 1.4248E+03 1.3108E+03
2.2387E-01 2.4829E+03 2.4791E+03 1.2138E+03 1.1059E+03
2.5119E-01 2.0862E+03 2.0791E+03 1.0242E+03 9.2281E+02
2.8184E-01 1.7343E+03 1.7226E+03 8.5462E+02 7.6372E+02
3.1623E-01 1.4275E+03 1.4146E+03 7.0533E+02 6.2577E+02
3.5481E-01 1.1656E+03 1.1512E+03 5.7536E+02 5.0700E+02
3.9811E-01 9.4251E+02 9.2844E+02 4.6532E+02 4.0635E+02
4.4668E-01 7.5623E+02 7.4230E+02 3.7279E+02 3.2310E+02
5.0119E-01 6.0114E+02 5.8823E+02 2.9580E+02 2.5538E+02
5.6234E-01 4.7413E+02 4.6202E+02 2.3323E+02 1.9955E+02
6.3096E-01 3.7219E+02 3.5999E+02 1.8201E+02 1.5381E+02
7.0795E-01 2.8987E+02 2.7930E+02 1.4075E+02 1.1820E+02
7.9433E-01 2.2416E+02 2.1571E+02 1.0823E+02 9.0245E+01
8.9125E-01 1.7292E+02 1.6427E+02 8.1961E+01 6.7883E+01
1.0000E+00 1.3226E+02 1.2492E+02 6.1937E+01 5.0894E+01
1.1220E+00 1.0088E+02 9.4796E+01 4.6414E+01 3.7901E+01
1.2589E+00 7.6663E+01 7.1371E+01 3.4510E+01 2.8105E+01
1.4125E+00 5.8059E+01 5.3386E+01 2.5543E+01 2.0666E+01
1.5849E+00 4.3691E+01 3.9806E+01 1.8750E+01 1.5099E+01
1.7783E+00 3.2673E+01 2.9524E+01 1.3663E+01 1.0921E+01
1.9953E+00 2.4355E+01 2.1721E+01 9.9184E+00 7.8532E+00
2.2387E+00 1.8064E+01 1.5919E+01 7.1306E+00 5.6263E+00
2.5119E+00 1.3337E+01 1.1636E+01 5.0919E+00 4.0082E+00
2.8184E+00 9.7808E+00 8.4103E+00 3.6130E+00 2.8213E+00
3.1623E+00 7.1617E+00 6.1108E+00 2.5415E+00 1.9644E+00
3.5481E+00 5.2207E+00 4.4135E+00 1.7767E+00 1.3679E+00
3.9811E+00 3.8006E+00 3.1759E+00 1.2353E+00 9.4610E-01
4.4668E+00 2.7541E+00 2.2781E+00 8.5394E-01 6.5141E-01
5.0119E+00 1.9900E+00 1.6302E+00 5.8754E-01 4.4723E-01
5.6234E+00 1.4331E+00 1.1640E+00 4.0208E-01 3.0498E-01
6.3096E+00 1.0313E+00 8.2947E-01 2.7507E-01 2.0884E-01
7.0795E+00 7.4153E-01 5.9002E-01 1.8605E-01 1.4209E-01
7.9433E+00 5.3119E-01 4.2008E-01 1.2515E-01 9.5802E-02
8.9125E+00 3.7949E-01 2.9893E-01 8.3849E-02 6.3842E-02
1.0000E+01 2.7044E-01 2.1131E-01 5.6598E-02 4.2772E-02
1.1220E+01 1.9313E-01 1.4955E-01 3.7962E-02 2.8777E-02
1.2589E+01 1.3790E-01 1.0597E-01 2.5429E-02 1.9228E-02
1.4125E+01 9.8228E-02 7.4983E-02 1.6825E-02 1.2813E-02
1.5849E+01 6.9908E-02 5.3077E-02 1.1145E-02 8.5808E-03
1.7783E+01 4.9719E-02 3.7613E-02 7.4181E-03 5.7209E-03
1.9953E+01 3.5457E-02 2.6567E-02 4.9313E-03 3.8022E-03
2.2387E+01 2.5235E-02 1.8764E-02 3.3049E-03 2.5460E-03
2.5119E+01 1.7885E-02 1.3274E-02 2.1961E-03 1.7210E-03
2.8184E+01 1.2700E-02 9.3811E-03 1.4518E-03 1.1352E-03
3.1623E+01 8.9898E-03 6.5957E-03 9.7007E-04 7.6276E-04
3.5481E+01 6.3662E-03 4.6433E-03 6.4377E-04 5.1094E-04
3.9811E+01 4.5039E-03 3.2661E-03 4.3023E-04 3.4071E-04
4.4668E+01 3.1796E-03 2.2939E-03 2.8820E-04 2.2678E-04
5.0119E+01 2.2445E-03 1.6097E-03 1.9174E-04 1.5206E-04
5.6234E+01 1.5837E-03 1.1304E-03 1.2754E-04 1.0239E-04
6.3096E+01 1.1159E-03 7.9241E-04 8.5667E-05 6.8947E-05
7.0795E+01 7.8396E-04 5.5335E-04 5.7396E-05 4.6401E-05
7.9433E+01 5.5034E-04 3.8665E-04 3.8234E-05 3.1158E-05
8.9125E+01 3.8691E-04 2.6959E-04 2.5617E-05 2.0791E-05
1.0000E+02 2.7125E-04 1.8837E-04 1.7305E-05 1.4093E-05
1.1220E+02 1.8985E-04 1.3104E-04 1.1643E-05 9.5148E-06
1.2589E+02 1.3308E-04 9.1189E-05 7.8635E-06 6.4038E-06
1.4125E+02 9.3204E-05 6.3365E-05 5.2795E-06 4.3091E-06
1.5849E+02 6.5208E-05 4.3941E-05 3.5594E-06 2.9081E-06
1.7783E+02 4.5526E-05 3.0475E-05 2.4251E-06 1.9609E-06
