average flux in [cosZ =-0.40 -- -0.30, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.0263E+04 1.0435E+04 5.0700E+03 4.7091E+03
1.1220E-01 8.8739E+03 9.0086E+03 4.4300E+03 4.0833E+03
1.2589E-01 7.6466E+03 7.7409E+03 3.8399E+03 3.5018E+03
1.4125E-01 6.5391E+03 6.6079E+03 3.2983E+03 2.9771E+03
1.5849E-01 5.5474E+03 5.5968E+03 2.8056E+03 2.5025E+03
1.7783E-01 4.6574E+03 4.6917E+03 2.3684E+03 2.0933E+03
1.9953E-01 3.8674E+03 3.8916E+03 1.9863E+03 1.7448E+03
2.2387E-01 3.1807E+03 3.1966E+03 1.6526E+03 1.4405E+03
2.5119E-01 2.5917E+03 2.5997E+03 1.3681E+03 1.1815E+03
2.8184E-01 2.0963E+03 2.1013E+03 1.1184E+03 9.5696E+02
3.1623E-01 1.6812E+03 1.6890E+03 9.0484E+02 7.6915E+02
3.5481E-01 1.3427E+03 1.3450E+03 7.2895E+02 6.1578E+02
3.9811E-01 1.0683E+03 1.0655E+03 5.8231E+02 4.8830E+02
4.4668E-01 8.4208E+02 8.4269E+02 4.6273E+02 3.8516E+02
5.0119E-01 6.6194E+02 6.6053E+02 3.6563E+02 3.0264E+02
5.6234E-01 5.1784E+02 5.1570E+02 2.8604E+02 2.3665E+02
6.3096E-01 4.0286E+02 4.0064E+02 2.2315E+02 1.8401E+02
7.0795E-01 3.1233E+02 3.0896E+02 1.7413E+02 1.4193E+02
7.9433E-01 2.4159E+02 2.3699E+02 1.3482E+02 1.0946E+02
8.9125E-01 1.8683E+02 1.8214E+02 1.0303E+02 8.4073E+01
1.0000E+00 1.4359E+02 1.3985E+02 7.8746E+01 6.4071E+01
1.1220E+00 1.1009E+02 1.0672E+02 6.0040E+01 4.8632E+01
1.2589E+00 8.4228E+01 8.1106E+01 4.5441E+01 3.6709E+01
1.4125E+00 6.4210E+01 6.1374E+01 3.4195E+01 2.7492E+01
1.5849E+00 4.8593E+01 4.6172E+01 2.5529E+01 2.0468E+01
1.7783E+00 3.6625E+01 3.4556E+01 1.9079E+01 1.5259E+01
1.9953E+00 2.7511E+01 2.5858E+01 1.4165E+01 1.1208E+01
2.2387E+00 2.0587E+01 1.9157E+01 1.0407E+01 8.1745E+00
2.5119E+00 1.5272E+01 1.4117E+01 7.6269E+00 5.9630E+00
2.8184E+00 1.1239E+01 1.0374E+01 5.5300E+00 4.3102E+00
3.1623E+00 8.2817E+00 7.5832E+00 3.9863E+00 3.0923E+00
3.5481E+00 6.0733E+00 5.5080E+00 2.8585E+00 2.2093E+00
3.9811E+00 4.4443E+00 4.0022E+00 2.0350E+00 1.5656E+00
4.4668E+00 3.2439E+00 2.9038E+00 1.4443E+00 1.1034E+00
5.0119E+00 2.3427E+00 2.0932E+00 1.0135E+00 7.7301E-01
5.6234E+00 1.6870E+00 1.5013E+00 7.0810E-01 5.3831E-01
