average flux in [cosZ =-0.50 -- -0.40, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 8.7132E+03 8.8387E+03 4.3191E+03 4.0147E+03
1.1220E-01 7.6246E+03 7.7236E+03 3.8119E+03 3.5147E+03
1.2589E-01 6.6443E+03 6.7101E+03 3.3287E+03 3.0418E+03
1.4125E-01 5.7456E+03 5.7889E+03 2.8803E+03 2.6086E+03
1.5849E-01 4.9213E+03 4.9518E+03 2.4703E+03 2.2182E+03
1.7783E-01 4.1684E+03 4.1876E+03 2.1041E+03 1.8752E+03
1.9953E-01 3.5029E+03 3.5098E+03 1.7788E+03 1.5710E+03
2.2387E-01 2.9093E+03 2.9116E+03 1.4942E+03 1.3060E+03
2.5119E-01 2.3896E+03 2.3927E+03 1.2425E+03 1.0784E+03
2.8184E-01 1.9481E+03 1.9499E+03 1.0222E+03 8.8015E+02
3.1623E-01 1.5756E+03 1.5775E+03 8.3394E+02 7.1361E+02
3.5481E-01 1.2658E+03 1.2670E+03 6.7569E+02 5.7230E+02
3.9811E-01 1.0132E+03 1.0112E+03 5.4284E+02 4.5733E+02
4.4668E-01 8.0574E+02 8.0175E+02 4.3183E+02 3.6364E+02
5.0119E-01 6.3484E+02 6.3005E+02 3.4132E+02 2.8628E+02
5.6234E-01 4.9909E+02 4.9190E+02 2.6791E+02 2.2516E+02
6.3096E-01 3.9030E+02 3.8304E+02 2.0957E+02 1.7498E+02
7.0795E-01 3.0320E+02 2.9676E+02 1.6270E+02 1.3497E+02
7.9433E-01 2.3533E+02 2.2875E+02 1.2547E+02 1.0369E+02
8.9125E-01 1.8125E+02 1.7617E+02 9.6249E+01 7.9132E+01
1.0000E+00 1.3901E+02 1.3452E+02 7.3150E+01 6.0131E+01
1.1220E+00 1.0637E+02 1.0256E+02 5.5351E+01 4.5243E+01
1.2589E+00 8.1173E+01 7.7796E+01 4.1815E+01 3.4047E+01
1.4125E+00 6.1832E+01 5.8570E+01 3.1434E+01 2.5455E+01
1.5849E+00 4.6807E+01 4.3984E+01 2.3436E+01 1.8843E+01
1.7783E+00 3.5223E+01 3.2940E+01 1.7345E+01 1.3841E+01
1.9953E+00 2.6350E+01 2.4448E+01 1.2757E+01 1.0150E+01
2.2387E+00 1.9615E+01 1.8050E+01 9.3362E+00 7.3730E+00
2.5119E+00 1.4586E+01 1.3241E+01 6.7873E+00 5.3225E+00
2.8184E+00 1.0794E+01 9.7384E+00 4.9084E+00 3.8411E+00
3.1623E+00 7.8990E+00 7.0746E+00 3.4978E+00 2.7144E+00
3.5481E+00 5.7663E+00 5.1326E+00 2.4858E+00 1.9243E+00
3.9811E+00 4.2108E+00 3.7191E+00 1.7546E+00 1.3549E+00
4.4668E+00 3.0705E+00 2.6825E+00 1.2327E+00 9.4834E-01
5.0119E+00 2.2237E+00 1.9296E+00 8.6247E-01 6.6111E-01
5.6234E+00 1.6063E+00 1.3874E+00 5.9781E-01 4.5838E-01
6.3096E+00 1.1561E+00 9.8978E-01 4.1393E-01 3.1731E-01
7.0795E+00 8.3137E-01 7.0042E-01 2.8541E-01 2.1706E-01
7.9433E+00 5.9932E-01 4.9689E-01 1.9590E-01 1.4775E-01
8.9125E+00 4.2846E-01 3.5522E-01 1.3419E-01 1.0046E-01
1.0000E+01 3.0657E-01 2.5285E-01 9.0766E-02 6.8616E-02
1.1220E+01 2.1867E-01 1.7896E-01 6.1368E-02 4.6498E-02
