average flux in [cosZ = 0.90 --  1.00, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 8.2150E+03 8.3382E+03 4.0187E+03 3.9191E+03
1.1220E-01 7.4530E+03 7.5532E+03 3.6367E+03 3.5164E+03
1.2589E-01 6.7147E+03 6.7896E+03 3.2550E+03 3.1143E+03
1.4125E-01 5.9929E+03 6.0412E+03 2.8847E+03 2.7316E+03
1.5849E-01 5.2850E+03 5.3100E+03 2.5280E+03 2.3730E+03
1.7783E-01 4.5980E+03 4.6072E+03 2.1913E+03 2.0369E+03
1.9953E-01 3.9440E+03 3.9420E+03 1.8782E+03 1.7270E+03
2.2387E-01 3.3399E+03 3.3270E+03 1.5942E+03 1.4458E+03
2.5119E-01 2.7928E+03 2.7727E+03 1.3387E+03 1.1979E+03
2.8184E-01 2.3071E+03 2.2856E+03 1.1088E+03 9.8034E+02
3.1623E-01 1.8844E+03 1.8632E+03 9.0539E+02 7.9212E+02
3.5481E-01 1.5221E+03 1.4998E+03 7.3138E+02 6.3282E+02
3.9811E-01 1.2179E+03 1.1927E+03 5.8419E+02 4.9961E+02
4.4668E-01 9.6507E+02 9.4031E+02 4.6130E+02 3.9034E+02
5.0119E-01 7.5646E+02 7.3202E+02 3.6119E+02 3.0147E+02
5.6234E-01 5.8710E+02 5.6464E+02 2.7965E+02 2.3062E+02
6.3096E-01 4.5182E+02 4.3275E+02 2.1394E+02 1.7514E+02
7.0795E-01 3.4476E+02 3.2854E+02 1.6241E+02 1.3181E+02
7.9433E-01 2.6212E+02 2.4813E+02 1.2194E+02 9.7973E+01
8.9125E-01 1.9816E+02 1.8545E+02 9.0740E+01 7.2255E+01
1.0000E+00 1.4844E+02 1.3808E+02 6.6844E+01 5.2798E+01
1.1220E+00 1.1114E+02 1.0244E+02 4.8835E+01 3.8402E+01
1.2589E+00 8.2972E+01 7.5621E+01 3.5471E+01 2.7676E+01
1.4125E+00 6.1737E+01 5.5576E+01 2.5607E+01 1.9893E+01
1.5849E+00 4.5766E+01 4.0637E+01 1.8337E+01 1.4227E+01
1.7783E+00 3.3719E+01 2.9637E+01 1.3077E+01 1.0089E+01
1.9953E+00 2.4735E+01 2.1504E+01 9.2670E+00 7.1277E+00
2.2387E+00 1.8120E+01 1.5544E+01 6.5329E+00 4.9890E+00
2.5119E+00 1.3250E+01 1.1189E+01 4.5943E+00 3.4895E+00
2.8184E+00 9.6439E+00 8.0453E+00 3.1921E+00 2.4359E+00
3.1623E+00 6.9689E+00 5.7720E+00 2.1957E+00 1.6706E+00
3.5481E+00 5.0478E+00 4.1314E+00 1.5098E+00 1.1498E+00
3.9811E+00 3.6577E+00 2.9539E+00 1.0338E+00 7.8625E-01
4.4668E+00 2.6392E+00 2.1075E+00 7.0451E-01 5.3478E-01
5.0119E+00 1.8999E+00 1.5066E+00 4.7831E-01 3.6357E-01
5.6234E+00 1.3663E+00 1.0760E+00 3.2437E-01 2.4597E-01
6.3096E+00 9.8122E-01 7.6463E-01 2.1920E-01 1.6622E-01
7.0795E+00 7.0148E-01 5.4297E-01 1.4787E-01 1.1208E-01
7.9433E+00 5.0133E-01 3.8576E-01 9.9227E-02 7.5400E-02
8.9125E+00 3.5897E-01 2.7303E-01 6.6040E-02 5.0655E-02
1.0000E+01 2.5620E-01 1.9441E-01 4.4338E-02 3.3863E-02
1.1220E+01 1.8267E-01 1.3779E-01 2.9594E-02 2.2651E-02
1.2589E+01 1.2993E-01 9.7456E-02 1.9650E-02 1.5140E-02
1.4125E+01 9.2378E-02 6.8871E-02 1.3092E-02 1.0147E-02
1.5849E+01 6.5806E-02 4.8676E-02 8.7640E-03 6.7412E-03
1.7783E+01 4.6822E-02 3.4460E-02 5.8127E-03 4.4900E-03
1.9953E+01 3.3229E-02 2.4364E-02 3.8455E-03 3.0046E-03
2.2387E+01 2.3548E-02 1.7240E-02 2.5582E-03 1.9973E-03
2.5119E+01 1.6690E-02 1.2150E-02 1.6988E-03 1.3342E-03
2.8184E+01 1.1817E-02 8.5594E-03 1.1449E-03 8.8965E-04
