average flux in [cosZ =-0.90 -- -0.80, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 6.2837E+03 6.3593E+03 3.1116E+03 2.9471E+03
1.1220E-01 5.6730E+03 5.7212E+03 2.8089E+03 2.6389E+03
1.2589E-01 5.0896E+03 5.1173E+03 2.5019E+03 2.3350E+03
1.4125E-01 4.5231E+03 4.5333E+03 2.2061E+03 2.0442E+03
1.5849E-01 3.9671E+03 3.9724E+03 1.9315E+03 1.7742E+03
1.7783E-01 3.4341E+03 3.4356E+03 1.6727E+03 1.5195E+03
1.9953E-01 2.9421E+03 2.9318E+03 1.4322E+03 1.2891E+03
2.2387E-01 2.4908E+03 2.4742E+03 1.2120E+03 1.0861E+03
2.5119E-01 2.0808E+03 2.0644E+03 1.0149E+03 9.0374E+02
2.8184E-01 1.7185E+03 1.7055E+03 8.4182E+02 7.4245E+02
3.1623E-01 1.4058E+03 1.3935E+03 6.9022E+02 6.0453E+02
3.5481E-01 1.1405E+03 1.1269E+03 5.5884E+02 4.8737E+02
3.9811E-01 9.1898E+02 9.0409E+02 4.4872E+02 3.8879E+02
4.4668E-01 7.3381E+02 7.1885E+02 3.5679E+02 3.0635E+02
5.0119E-01 5.8128E+02 5.6732E+02 2.8056E+02 2.4013E+02
5.6234E-01 4.5732E+02 4.4374E+02 2.1899E+02 1.8687E+02
6.3096E-01 3.5744E+02 3.4498E+02 1.6961E+02 1.4405E+02
7.0795E-01 2.7788E+02 2.6713E+02 1.3058E+02 1.1008E+02
7.9433E-01 2.1478E+02 2.0521E+02 9.9507E+01 8.3410E+01
8.9125E-01 1.6548E+02 1.5655E+02 7.5153E+01 6.2858E+01
1.0000E+00 1.2682E+02 1.1907E+02 5.6809E+01 4.6966E+01
1.1220E+00 9.6930E+01 9.0234E+01 4.2537E+01 3.4802E+01
1.2589E+00 7.3758E+01 6.7942E+01 3.1579E+01 2.5719E+01
1.4125E+00 5.5833E+01 5.0886E+01 2.3263E+01 1.8884E+01
1.5849E+00 4.2050E+01 3.7937E+01 1.7040E+01 1.3766E+01
1.7783E+00 3.1587E+01 2.8100E+01 1.2424E+01 9.9704E+00
1.9953E+00 2.3578E+01 2.0718E+01 8.9797E+00 7.1469E+00
2.2387E+00 1.7453E+01 1.5230E+01 6.4405E+00 5.0816E+00
2.5119E+00 1.2883E+01 1.1132E+01 4.6133E+00 3.6035E+00
2.8184E+00 9.4671E+00 8.0906E+00 3.2738E+00 2.5392E+00
3.1623E+00 6.9412E+00 5.8440E+00 2.2923E+00 1.7684E+00
3.5481E+00 5.0631E+00 4.2216E+00 1.6010E+00 1.2280E+00
3.9811E+00 3.6835E+00 3.0345E+00 1.1083E+00 8.4755E-01
4.4668E+00 2.6698E+00 2.1747E+00 7.6663E-01 5.8098E-01
5.0119E+00 1.9303E+00 1.5594E+00 5.2554E-01 3.9917E-01
5.6234E+00 1.3901E+00 1.1123E+00 3.5714E-01 2.7096E-01
6.3096E+00 9.9945E-01 7.9184E-01 2.4253E-01 1.8243E-01
7.0795E+00 7.1640E-01 5.6379E-01 1.6423E-01 1.2329E-01
7.9433E+00 5.1401E-01 3.9988E-01 1.1070E-01 8.3811E-02
8.9125E+00 3.6877E-01 2.8286E-01 7.4236E-02 5.6274E-02
1.0000E+01 2.6239E-01 2.0144E-01 4.9875E-02 3.7776E-02
1.1220E+01 1.8734E-01 1.4302E-01 3.3181E-02 2.5209E-02
1.2589E+01 1.3351E-01 1.0111E-01 2.2104E-02 1.6934E-02
1.4125E+01 9.4999E-02 7.1516E-02 1.4674E-02 1.1281E-02
1.5849E+01 6.7513E-02 5.0686E-02 9.7563E-03 7.4560E-03
1.7783E+01 4.8042E-02 3.5803E-02 6.5062E-03 4.9806E-03
1.9953E+01 3.4081E-02 2.5296E-02 4.2993E-03 3.3051E-03
2.2387E+01 2.4195E-02 1.7895E-02 2.8618E-03 2.2086E-03
2.5119E+01 1.7233E-02 1.2604E-02 1.9189E-03 1.4880E-03
2.8184E+01 1.2208E-02 8.8964E-03 1.2825E-03 9.9707E-04
3.1623E+01 8.6379E-03 6.2765E-03 8.5024E-04 6.6761E-04
3.5481E+01 6.1099E-03 4.4166E-03 5.6622E-04 4.4722E-04
3.9811E+01 4.3177E-03 3.1032E-03 3.7769E-04 2.9980E-04
4.4668E+01 3.0498E-03 2.1807E-03 2.5273E-04 2.0083E-04
5.0119E+01 2.1473E-03 1.5291E-03 1.6842E-04 1.3527E-04
5.6234E+01 1.5114E-03 1.0694E-03 1.1256E-04 9.0962E-05
6.3096E+01 1.0647E-03 7.4755E-04 7.5708E-05 6.0984E-05
7.0795E+01 7.4727E-04 5.2286E-04 5.0877E-05 4.1071E-05
7.9433E+01 5.2363E-04 3.6533E-04 3.4066E-05 2.7547E-05
8.9125E+01 3.6717E-04 2.5495E-04 2.2974E-05 1.8590E-05
1.0000E+02 2.5830E-04 1.7769E-04 1.5548E-05 1.2667E-05
1.1220E+02 1.8059E-04 1.2352E-04 1.0450E-05 8.5365E-06
1.2589E+02 1.2633E-04 8.5833E-05 7.0403E-06 5.7359E-06
1.4125E+02 8.8402E-05 5.9547E-05 4.7767E-06 3.8906E-06
1.5849E+02 6.1815E-05 4.1335E-05 3.2407E-06 2.6464E-06
1.7783E+02 4.3086E-05 2.8633E-05 2.1997E-06 1.7817E-06
1.9953E+02 3.0023E-05 1.9794E-05 1.4824E-06 1.1971E-06
