average flux in [cosZ =-0.60 -- -0.50, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 7.8301E+03 7.9542E+03 3.8802E+03 3.6477E+03
1.1220E-01 6.9294E+03 7.0267E+03 3.4498E+03 3.2238E+03
1.2589E-01 6.1103E+03 6.1684E+03 3.0421E+03 2.8189E+03
1.4125E-01 5.3419E+03 5.3761E+03 2.6569E+03 2.4418E+03
1.5849E-01 4.6230E+03 4.6540E+03 2.2989E+03 2.0942E+03
1.7783E-01 3.9640E+03 3.9812E+03 1.9730E+03 1.7833E+03
1.9953E-01 3.3588E+03 3.3587E+03 1.6819E+03 1.5070E+03
2.2387E-01 2.8104E+03 2.8099E+03 1.4213E+03 1.2611E+03
2.5119E-01 2.3267E+03 2.3280E+03 1.1896E+03 1.0448E+03
2.8184E-01 1.9099E+03 1.9094E+03 9.8528E+02 8.5780E+02
3.1623E-01 1.5577E+03 1.5556E+03 8.0810E+02 6.9976E+02
3.5481E-01 1.2623E+03 1.2578E+03 6.5527E+02 5.6480E+02
3.9811E-01 1.0138E+03 1.0070E+03 5.2734E+02 4.5089E+02
4.4668E-01 8.0785E+02 8.0002E+02 4.2311E+02 3.5829E+02
5.0119E-01 6.3867E+02 6.3032E+02 3.3525E+02 2.8299E+02
5.6234E-01 5.0201E+02 4.9288E+02 2.6327E+02 2.2132E+02
6.3096E-01 3.9168E+02 3.8361E+02 2.0495E+02 1.7161E+02
7.0795E-01 3.0468E+02 2.9656E+02 1.5847E+02 1.3208E+02
7.9433E-01 2.3580E+02 2.2832E+02 1.2196E+02 1.0096E+02
8.9125E-01 1.8098E+02 1.7491E+02 9.3270E+01 7.6437E+01
1.0000E+00 1.3883E+02 1.3329E+02 7.0691E+01 5.7811E+01
1.1220E+00 1.0608E+02 1.0108E+02 5.3357E+01 4.3338E+01
1.2589E+00 8.0701E+01 7.6304E+01 3.9878E+01 3.2246E+01
1.4125E+00 6.1143E+01 5.7410E+01 2.9636E+01 2.3878E+01
1.5849E+00 4.6185E+01 4.2926E+01 2.1956E+01 1.7533E+01
1.7783E+00 3.4612E+01 3.1891E+01 1.6140E+01 1.2814E+01
1.9953E+00 2.5770E+01 2.3571E+01 1.1782E+01 9.3554E+00
2.2387E+00 1.9113E+01 1.7357E+01 8.5258E+00 6.7452E+00
2.5119E+00 1.4119E+01 1.2682E+01 6.1687E+00 4.8187E+00
2.8184E+00 1.0416E+01 9.2550E+00 4.4061E+00 3.4141E+00
3.1623E+00 7.6068E+00 6.7044E+00 3.1308E+00 2.4165E+00
3.5481E+00 5.5570E+00 4.8599E+00 2.2178E+00 1.6941E+00
3.9811E+00 4.0427E+00 3.5032E+00 1.5545E+00 1.1853E+00
4.4668E+00 2.9400E+00 2.5156E+00 1.0831E+00 8.2471E-01
5.0119E+00 2.1324E+00 1.8081E+00 7.5038E-01 5.7179E-01
5.6234E+00 1.5384E+00 1.2943E+00 5.1601E-01 3.9417E-01
6.3096E+00 1.1051E+00 9.2202E-01 3.5568E-01 2.6892E-01
7.0795E+00 7.9535E-01 6.5854E-01 2.4512E-01 1.8296E-01
7.9433E+00 5.7039E-01 4.6634E-01 1.6713E-01 1.2533E-01
8.9125E+00 4.0799E-01 3.3012E-01 1.1241E-01 8.5221E-02
1.0000E+01 2.9217E-01 2.3529E-01 7.6154E-02 5.7253E-02
1.1220E+01 2.0830E-01 1.6661E-01 5.1041E-02 3.8451E-02
1.2589E+01 1.4854E-01 1.1778E-01 3.4272E-02 2.5872E-02
1.4125E+01 1.0619E-01 8.3396E-02 2.2984E-02 1.7327E-02
1.5849E+01 7.5695E-02 5.9086E-02 1.5365E-02 1.1685E-02
1.7783E+01 5.4035E-02 4.1786E-02 1.0295E-02 7.8134E-03
1.9953E+01 3.8396E-02 2.9654E-02 6.8267E-03 5.2469E-03
2.2387E+01 2.7232E-02 2.0911E-02 4.5127E-03 3.4992E-03
