average flux in [cosZ =-0.30 -- -0.20, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.3103E+04 1.3334E+04 6.4547E+03 6.0097E+03
1.1220E-01 1.1198E+04 1.1378E+04 5.5905E+03 5.1561E+03
1.2589E-01 9.5310E+03 9.6558E+03 4.7875E+03 4.3744E+03
1.4125E-01 8.0593E+03 8.1470E+03 4.0639E+03 3.6730E+03
1.5849E-01 6.7568E+03 6.8168E+03 3.4220E+03 3.0631E+03
1.7783E-01 5.6003E+03 5.6473E+03 2.8612E+03 2.5370E+03
1.9953E-01 4.5938E+03 4.6310E+03 2.3724E+03 2.0836E+03
2.2387E-01 3.7354E+03 3.7510E+03 1.9561E+03 1.7025E+03
2.5119E-01 3.0071E+03 3.0240E+03 1.5990E+03 1.3797E+03
2.8184E-01 2.4026E+03 2.4158E+03 1.2958E+03 1.1077E+03
3.1623E-01 1.9121E+03 1.9149E+03 1.0435E+03 8.8260E+02
3.5481E-01 1.5104E+03 1.5151E+03 8.3212E+02 6.9771E+02
3.9811E-01 1.1850E+03 1.1903E+03 6.5797E+02 5.4911E+02
4.4668E-01 9.2868E+02 9.2978E+02 5.1857E+02 4.3104E+02
5.0119E-01 7.2313E+02 7.2226E+02 4.0787E+02 3.3683E+02
5.6234E-01 5.6141E+02 5.5965E+02 3.1878E+02 2.6147E+02
6.3096E-01 4.3557E+02 4.3302E+02 2.4705E+02 2.0220E+02
7.0795E-01 3.3646E+02 3.3411E+02 1.9094E+02 1.5552E+02
7.9433E-01 2.5934E+02 2.5641E+02 1.4773E+02 1.1935E+02
8.9125E-01 1.9934E+02 1.9537E+02 1.1334E+02 9.1208E+01
1.0000E+00 1.5316E+02 1.4986E+02 8.6612E+01 6.9666E+01
1.1220E+00 1.1736E+02 1.1425E+02 6.6118E+01 5.3208E+01
1.2589E+00 8.9682E+01 8.6817E+01 5.0228E+01 4.0398E+01
1.4125E+00 6.7991E+01 6.5675E+01 3.7932E+01 3.0395E+01
1.5849E+00 5.1405E+01 4.9602E+01 2.8550E+01 2.2911E+01
1.7783E+00 3.8872E+01 3.7319E+01 2.1378E+01 1.7114E+01
1.9953E+00 2.9239E+01 2.7784E+01 1.5922E+01 1.2664E+01
2.2387E+00 2.1851E+01 2.0562E+01 1.1840E+01 9.3209E+00
2.5119E+00 1.6220E+01 1.5241E+01 8.7183E+00 6.7789E+00
2.8184E+00 1.1973E+01 1.1283E+01 6.3734E+00 4.9147E+00
3.1623E+00 8.8605E+00 8.2633E+00 4.6354E+00 3.5837E+00
3.5481E+00 6.5112E+00 6.0429E+00 3.3512E+00 2.5799E+00
3.9811E+00 4.7711E+00 4.3923E+00 2.4089E+00 1.8403E+00
4.4668E+00 3.4704E+00 3.1838E+00 1.7172E+00 1.3108E+00
5.0119E+00 2.5230E+00 2.3015E+00 1.2154E+00 9.2842E-01
5.6234E+00 1.8307E+00 1.6597E+00 8.5876E-01 6.5456E-01
6.3096E+00 1.3169E+00 1.1909E+00 6.0998E-01 4.5771E-01
7.0795E+00 9.4776E-01 8.5200E-01 4.2568E-01 3.1720E-01
7.9433E+00 6.8179E-01 6.0609E-01 2.9699E-01 2.2077E-01
8.9125E+00 4.8896E-01 4.3048E-01 2.0640E-01 1.5157E-01
1.0000E+01 3.5120E-01 3.0829E-01 1.4102E-01 1.0580E-01
1.1220E+01 2.5147E-01 2.1911E-01 9.6969E-02 7.2921E-02
1.2589E+01 1.7928E-01 1.5596E-01 6.6555E-02 4.9760E-02
1.4125E+01 1.2803E-01 1.1037E-01 4.5347E-02 3.4002E-02
1.5849E+01 9.1776E-02 7.8106E-02 3.0739E-02 2.3115E-02
1.7783E+01 6.5681E-02 5.5231E-02 2.0957E-02 1.5744E-02
1.9953E+01 4.6829E-02 3.9153E-02 1.4263E-02 1.0739E-02
2.2387E+01 3.3449E-02 2.7877E-02 9.6018E-03 7.1596E-03
2.5119E+01 2.3822E-02 1.9808E-02 6.4043E-03 4.8889E-03
2.8184E+01 1.7083E-02 1.4012E-02 4.2802E-03 3.3245E-03
3.1623E+01 1.2105E-02 9.8338E-03 2.9090E-03 2.2197E-03
3.5481E+01 8.6346E-03 6.9568E-03 1.9472E-03 1.4941E-03
3.9811E+01 6.1525E-03 4.9184E-03 1.3009E-03 1.0027E-03
4.4668E+01 4.3838E-03 3.4788E-03 8.6991E-04 6.7083E-04
5.0119E+01 3.1234E-03 2.4563E-03 5.7980E-04 4.4916E-04
5.6234E+01 2.2213E-03 1.7322E-03 3.8590E-04 2.9997E-04
6.3096E+01 1.5799E-03 1.2237E-03 2.5636E-04 1.9973E-04
7.0795E+01 1.1225E-03 8.6333E-04 1.7034E-04 1.3289E-04
7.9433E+01 7.9552E-04 6.0728E-04 1.1330E-04 8.8466E-05
8.9125E+01 5.6422E-04 4.2720E-04 7.5250E-05 5.9101E-05
1.0000E+02 3.9904E-04 2.9979E-04 4.9527E-05 3.9230E-05
1.1220E+02 2.8216E-04 2.1027E-04 3.2887E-05 2.6038E-05
1.2589E+02 1.9939E-04 1.4745E-04 2.1822E-05 1.7287E-05
1.4125E+02 1.4066E-04 1.0330E-04 1.4410E-05 1.1489E-05
1.5849E+02 9.9090E-05 7.2231E-05 9.5433E-06 7.6308E-06
1.7783E+02 6.9751E-05 5.0444E-05 6.3462E-06 5.0778E-06
1.9953E+02 4.9071E-05 3.5186E-05 4.2061E-06 3.3666E-06
2.2387E+02 3.4539E-05 2.4538E-05 2.7986E-06 2.2303E-06
2.5119E+02 2.4257E-05 1.7091E-05 1.8579E-06 1.4923E-06
2.8184E+02 1.6966E-05 1.1859E-05 1.2341E-06 9.9551E-07
3.1623E+02 1.1898E-05 8.2594E-06 8.2422E-07 6.6706E-07
3.5481E+02 8.3277E-06 5.7340E-06 5.4977E-07 4.4452E-07
3.9811E+02 5.8219E-06 3.9795E-06 3.6701E-07 2.9669E-07
4.4668E+02 4.0668E-06 2.7594E-06 2.4577E-07 1.9874E-07
5.0119E+02 2.8471E-06 1.9110E-06 1.6458E-07 1.3221E-07
5.6234E+02 1.9896E-06 1.3250E-06 1.0988E-07 8.8618E-08
6.3096E+02 1.3860E-06 9.1502E-07 7.4047E-08 5.9323E-08
7.0795E+02 9.6566E-07 6.3244E-07 4.9935E-08 3.9874E-08
7.9433E+02 6.7207E-07 4.3659E-07 3.3578E-08 2.6681E-08
8.9125E+02 4.6720E-07 3.0130E-07 2.2562E-08 1.7718E-08
1.0000E+03 3.2497E-07 2.0768E-07 1.5117E-08 1.1782E-08
1.1220E+03 2.2485E-07 1.4233E-07 1.0069E-08 7.8986E-09
1.2589E+03 1.5558E-07 9.7695E-08 6.7584E-09 5.2817E-09
1.4125E+03 1.0754E-07 6.7061E-08 4.5304E-09 3.5304E-09
1.5849E+03 7.4123E-08 4.5932E-08 3.0495E-09 2.3592E-09
1.7783E+03 5.1121E-08 3.1318E-08 2.0516E-09 1.5768E-09
1.9953E+03 3.5147E-08 2.1391E-08 1.3839E-09 1.0496E-09
2.2387E+03 2.4084E-08 1.4579E-08 9.2127E-10 6.9888E-10
2.5119E+03 1.6511E-08 9.9292E-09 6.0197E-10 4.6773E-10
2.8184E+03 1.1253E-08 6.7230E-09 4.0224E-10 3.0686E-10
3.1623E+03 7.7891E-09 4.6229E-09 2.7356E-10 2.0280E-10
3.5481E+03 5.2144E-09 3.0699E-09 1.8251E-10 1.3435E-10
3.9811E+03 3.5331E-09 2.0651E-09 1.1997E-10 8.8304E-11
4.4668E+03 2.3893E-09 1.3885E-09 7.8942E-11 5.8995E-11
5.0119E+03 1.6129E-09 9.3463E-10 5.2170E-11 3.9396E-11
