average flux in [cosZ = 0.40 --  0.50, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.0441E+04 1.0610E+04 5.0381E+03 4.9574E+03
1.1220E-01 9.1742E+03 9.3109E+03 4.4576E+03 4.3542E+03
1.2589E-01 8.0419E+03 8.1250E+03 3.9134E+03 3.7798E+03
1.4125E-01 7.0119E+03 7.0510E+03 3.4093E+03 3.2565E+03
1.5849E-01 6.0512E+03 6.0667E+03 2.9436E+03 2.7826E+03
1.7783E-01 5.1680E+03 5.1602E+03 2.5300E+03 2.3589E+03
1.9953E-01 4.3596E+03 4.3456E+03 2.1541E+03 1.9837E+03
2.2387E-01 3.6385E+03 3.6260E+03 1.8157E+03 1.6564E+03
2.5119E-01 3.0099E+03 2.9920E+03 1.5200E+03 1.3710E+03
2.8184E-01 2.4702E+03 2.4468E+03 1.2591E+03 1.1231E+03
3.1623E-01 2.0078E+03 1.9838E+03 1.0341E+03 9.1100E+02
3.5481E-01 1.6185E+03 1.5977E+03 8.4283E+02 7.3149E+02
3.9811E-01 1.2964E+03 1.2775E+03 6.7834E+02 5.8344E+02
4.4668E-01 1.0292E+03 1.0122E+03 5.4173E+02 4.6069E+02
5.0119E-01 8.1042E+02 7.9527E+02 4.2961E+02 3.6229E+02
5.6234E-01 6.3297E+02 6.1871E+02 3.3714E+02 2.8367E+02
6.3096E-01 4.9028E+02 4.7834E+02 2.6353E+02 2.1859E+02
7.0795E-01 3.7781E+02 3.6806E+02 2.0388E+02 1.6683E+02
7.9433E-01 2.8939E+02 2.8169E+02 1.5618E+02 1.2694E+02
8.9125E-01 2.2126E+02 2.1336E+02 1.1909E+02 9.5863E+01
1.0000E+00 1.6730E+02 1.6068E+02 8.9752E+01 7.1858E+01
1.1220E+00 1.2622E+02 1.2104E+02 6.7221E+01 5.3400E+01
1.2589E+00 9.4967E+01 9.0475E+01 5.0015E+01 3.9414E+01
1.4125E+00 7.1059E+01 6.7162E+01 3.7035E+01 2.9086E+01
1.5849E+00 5.2973E+01 4.9756E+01 2.7225E+01 2.1290E+01
1.7783E+00 3.9361E+01 3.6605E+01 1.9870E+01 1.5465E+01
1.9953E+00 2.9045E+01 2.6756E+01 1.4435E+01 1.1140E+01
2.2387E+00 2.1337E+01 1.9519E+01 1.0400E+01 7.9748E+00
2.5119E+00 1.5552E+01 1.4173E+01 7.4605E+00 5.6822E+00
2.8184E+00 1.1320E+01 1.0244E+01 5.2812E+00 4.0215E+00
3.1623E+00 8.2915E+00 7.4219E+00 3.7598E+00 2.8520E+00
3.5481E+00 6.0056E+00 5.3338E+00 2.6410E+00 1.9976E+00
3.9811E+00 4.3502E+00 3.8290E+00 1.8427E+00 1.3942E+00
4.4668E+00 3.1409E+00 2.7398E+00 1.2872E+00 9.7261E-01
5.0119E+00 2.2612E+00 1.9580E+00 8.9166E-01 6.7236E-01
5.6234E+00 1.6248E+00 1.3972E+00 6.1631E-01 4.6233E-01
6.3096E+00 1.1668E+00 9.9321E-01 4.2238E-01 3.1664E-01
7.0795E+00 8.3719E-01 7.0468E-01 2.8777E-01 2.1775E-01
7.9433E+00 5.9978E-01 5.0235E-01 1.9618E-01 1.4822E-01
8.9125E+00 4.2780E-01 3.5672E-01 1.3386E-01 1.0036E-01
