average flux in [cosZ = 0.00 --  0.10, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 3.1855E+04 3.2416E+04 1.4902E+04 1.4902E+04
1.1220E-01 2.6552E+04 2.6994E+04 1.2640E+04 1.2508E+04
1.2589E-01 2.1985E+04 2.2350E+04 1.0620E+04 1.0395E+04
1.4125E-01 1.8173E+04 1.8352E+04 8.7995E+03 8.5315E+03
1.5849E-01 1.4871E+04 1.4910E+04 7.2218E+03 6.9293E+03
1.7783E-01 1.1990E+04 1.2002E+04 5.9121E+03 5.5766E+03
1.9953E-01 9.6116E+03 9.5626E+03 4.8120E+03 4.4558E+03
2.2387E-01 7.6062E+03 7.5053E+03 3.8931E+03 3.5304E+03
2.5119E-01 5.9025E+03 5.8319E+03 3.1004E+03 2.7716E+03
2.8184E-01 4.5564E+03 4.5192E+03 2.4319E+03 2.1504E+03
3.1623E-01 3.4913E+03 3.4765E+03 1.8949E+03 1.6640E+03
3.5481E-01 2.6654E+03 2.6490E+03 1.4680E+03 1.2765E+03
3.9811E-01 2.0259E+03 2.0058E+03 1.1350E+03 9.7043E+02
4.4668E-01 1.5354E+03 1.5143E+03 8.6617E+02 7.3937E+02
5.0119E-01 1.1534E+03 1.1342E+03 6.5706E+02 5.5057E+02
5.6234E-01 8.5951E+02 8.4899E+02 5.0357E+02 4.1498E+02
6.3096E-01 6.4592E+02 6.3229E+02 3.8166E+02 3.1303E+02
7.0795E-01 4.8027E+02 4.7017E+02 2.8381E+02 2.3229E+02
7.9433E-01 3.5447E+02 3.5154E+02 2.1170E+02 1.7160E+02
8.9125E-01 2.6435E+02 2.6076E+02 1.5795E+02 1.2647E+02
1.0000E+00 1.9844E+02 1.9357E+02 1.1890E+02 9.4530E+01
1.1220E+00 1.4806E+02 1.4359E+02 8.7587E+01 7.0404E+01
1.2589E+00 1.1017E+02 1.0686E+02 6.4880E+01 5.2337E+01
1.4125E+00 8.2132E+01 7.9387E+01 4.8257E+01 3.8956E+01
1.5849E+00 6.1454E+01 5.8848E+01 3.5833E+01 2.9117E+01
1.7783E+00 4.5817E+01 4.3623E+01 2.6634E+01 2.1351E+01
1.9953E+00 3.4002E+01 3.2427E+01 1.9808E+01 1.5675E+01
2.2387E+00 2.5292E+01 2.3912E+01 1.4706E+01 1.1675E+01
2.5119E+00 1.8536E+01 1.7642E+01 1.0776E+01 8.6238E+00
2.8184E+00 1.3631E+01 1.3055E+01 8.0157E+00 6.3099E+00
3.1623E+00 1.0066E+01 9.5977E+00 5.9298E+00 4.5423E+00
