average flux in [cosZ = 0.60 --  0.70, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 9.0584E+03 9.1870E+03 4.4061E+03 4.3100E+03
1.1220E-01 8.1036E+03 8.2081E+03 3.9516E+03 3.8341E+03
1.2589E-01 7.2094E+03 7.2869E+03 3.5010E+03 3.3746E+03
1.4125E-01 6.3566E+03 6.4075E+03 3.0837E+03 2.9410E+03
1.5849E-01 5.5548E+03 5.5841E+03 2.6969E+03 2.5376E+03
1.7783E-01 4.8068E+03 4.8102E+03 2.3323E+03 2.1712E+03
1.9953E-01 4.1013E+03 4.0919E+03 2.0010E+03 1.8419E+03
2.2387E-01 3.4566E+03 3.4452E+03 1.7003E+03 1.5460E+03
2.5119E-01 2.8814E+03 2.8679E+03 1.4283E+03 1.2838E+03
2.8184E-01 2.3783E+03 2.3595E+03 1.1895E+03 1.0548E+03
3.1623E-01 1.9457E+03 1.9231E+03 9.7786E+02 8.5836E+02
3.5481E-01 1.5745E+03 1.5559E+03 7.9619E+02 6.9026E+02
3.9811E-01 1.2639E+03 1.2456E+03 6.4167E+02 5.4989E+02
4.4668E-01 1.0053E+03 9.8525E+02 5.1130E+02 4.3406E+02
5.0119E-01 7.9052E+02 7.7156E+02 4.0440E+02 3.3936E+02
5.6234E-01 6.1621E+02 5.9997E+02 3.1585E+02 2.6275E+02
6.3096E-01 4.7669E+02 4.6358E+02 2.4414E+02 2.0116E+02
7.0795E-01 3.6575E+02 3.5379E+02 1.8801E+02 1.5220E+02
7.9433E-01 2.7903E+02 2.6799E+02 1.4327E+02 1.1419E+02
8.9125E-01 2.1143E+02 2.0203E+02 1.0771E+02 8.5448E+01
1.0000E+00 1.5929E+02 1.5163E+02 8.0108E+01 6.3702E+01
1.1220E+00 1.1975E+02 1.1307E+02 5.9378E+01 4.6745E+01
1.2589E+00 8.9711E+01 8.3967E+01 4.3606E+01 3.4084E+01
1.4125E+00 6.6927E+01 6.2030E+01 3.1857E+01 2.4843E+01
1.5849E+00 4.9712E+01 4.5702E+01 2.3104E+01 1.7986E+01
1.7783E+00 3.6747E+01 3.3425E+01 1.6612E+01 1.2909E+01
1.9953E+00 2.7014E+01 2.4361E+01 1.1948E+01 9.2118E+00
2.2387E+00 1.9828E+01 1.7671E+01 8.5457E+00 6.5333E+00
2.5119E+00 1.4480E+01 1.2754E+01 6.0284E+00 4.6145E+00
2.8184E+00 1.0545E+01 9.1954E+00 4.2222E+00 3.2396E+00
3.1623E+00 7.6497E+00 6.6034E+00 2.9623E+00 2.2433E+00
3.5481E+00 5.5348E+00 4.7425E+00 2.0619E+00 1.5601E+00
3.9811E+00 3.9994E+00 3.3906E+00 1.4239E+00 1.0815E+00
4.4668E+00 2.8894E+00 2.4203E+00 9.7818E-01 7.4349E-01
5.0119E+00 2.0801E+00 1.7265E+00 6.7183E-01 5.0875E-01
5.6234E+00 1.4942E+00 1.2305E+00 4.5971E-01 3.4734E-01
6.3096E+00 1.0701E+00 8.7632E-01 3.1467E-01 2.3584E-01
7.0795E+00 7.6641E-01 6.2350E-01 2.1311E-01 1.6014E-01
7.9433E+00 5.4861E-01 4.4199E-01 1.4430E-01 1.0867E-01
8.9125E+00 3.9194E-01 3.1306E-01 9.7394E-02 7.3399E-02
1.0000E+01 2.8083E-01 2.2215E-01 6.5169E-02 4.8867E-02
1.1220E+01 2.0019E-01 1.5754E-01 4.3865E-02 3.2843E-02
1.2589E+01 1.4296E-01 1.1137E-01 2.9264E-02 2.2047E-02
1.4125E+01 1.0203E-01 7.8646E-02 1.9461E-02 1.4747E-02
1.5849E+01 7.2505E-02 5.5696E-02 1.2996E-02 9.8800E-03
1.7783E+01 5.1601E-02 3.9434E-02 8.6519E-03 6.5891E-03
1.9953E+01 3.6728E-02 2.7827E-02 5.7348E-03 4.4010E-03
2.2387E+01 2.6214E-02 1.9711E-02 3.8093E-03 2.9422E-03
2.5119E+01 1.8654E-02 1.3979E-02 2.5280E-03 1.9593E-03
2.8184E+01 1.3180E-02 9.8584E-03 1.6825E-03 1.3065E-03
3.1623E+01 9.3819E-03 6.9688E-03 1.1256E-03 8.7491E-04
3.5481E+01 6.6488E-03 4.9111E-03 7.4816E-04 5.8579E-04
3.9811E+01 4.7107E-03 3.4555E-03 4.9822E-04 3.9124E-04
4.4668E+01 3.3330E-03 2.4348E-03 3.3141E-04 2.6154E-04
5.0119E+01 2.3553E-03 1.7121E-03 2.2073E-04 1.7598E-04
5.6234E+01 1.6630E-03 1.1999E-03 1.4761E-04 1.1751E-04
6.3096E+01 1.1720E-03 8.4027E-04 9.8382E-05 7.8592E-05
7.0795E+01 8.2613E-04 5.8852E-04 6.5616E-05 5.2993E-05
7.9433E+01 5.8083E-04 4.1179E-04 4.3736E-05 3.5179E-05
8.9125E+01 4.0865E-04 2.8751E-04 2.9071E-05 2.3403E-05
1.0000E+02 2.8768E-04 2.0130E-04 1.9681E-05 1.6053E-05
1.1220E+02 2.0182E-04 1.4021E-04 1.3217E-05 1.0740E-05
1.2589E+02 1.4132E-04 9.7698E-05 8.9138E-06 7.1889E-06
1.4125E+02 9.9039E-05 6.7934E-05 6.0044E-06 4.8612E-06
1.5849E+02 6.9261E-05 4.7206E-05 4.0513E-06 3.2806E-06
1.7783E+02 4.8432E-05 3.2816E-05 2.7187E-06 2.2133E-06
1.9953E+02 3.3919E-05 2.2740E-05 1.8235E-06 1.5026E-06
2.2387E+02 2.3655E-05 1.5756E-05 1.2312E-06 1.0100E-06
