average flux in [cosZ =-1.00 -- -0.90, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 7.7422E+03 7.8285E+03 3.8557E+03 3.5849E+03
1.1220E-01 6.9932E+03 7.0509E+03 3.4696E+03 3.2019E+03
1.2589E-01 6.2627E+03 6.3023E+03 3.0863E+03 2.8311E+03
1.4125E-01 5.5516E+03 5.5751E+03 2.7171E+03 2.4708E+03
1.5849E-01 4.8623E+03 4.8691E+03 2.3664E+03 2.1311E+03
1.7783E-01 4.1980E+03 4.1952E+03 2.0380E+03 1.8201E+03
1.9953E-01 3.5734E+03 3.5641E+03 1.7354E+03 1.5394E+03
2.2387E-01 3.0014E+03 2.9861E+03 1.4616E+03 1.2852E+03
2.5119E-01 2.4901E+03 2.4693E+03 1.2162E+03 1.0576E+03
2.8184E-01 2.0414E+03 2.0211E+03 9.9744E+02 8.6227E+02
3.1623E-01 1.6562E+03 1.6383E+03 8.0940E+02 6.9374E+02
3.5481E-01 1.3302E+03 1.3137E+03 6.4970E+02 5.5225E+02
3.9811E-01 1.0595E+03 1.0398E+03 5.1515E+02 4.3593E+02
4.4668E-01 8.3631E+02 8.1691E+02 4.0484E+02 3.3941E+02
5.0119E-01 6.5465E+02 6.3725E+02 3.1507E+02 2.6226E+02
5.6234E-01 5.0927E+02 4.9288E+02 2.4265E+02 2.0162E+02
6.3096E-01 3.9388E+02 3.7923E+02 1.8521E+02 1.5350E+02
7.0795E-01 3.0269E+02 2.8977E+02 1.4049E+02 1.1558E+02
7.9433E-01 2.3088E+02 2.1966E+02 1.0609E+02 8.6594E+01
8.9125E-01 1.7570E+02 1.6567E+02 7.9312E+01 6.4238E+01
1.0000E+00 1.3368E+02 1.2466E+02 5.8782E+01 4.7538E+01
1.1220E+00 1.0123E+02 9.3467E+01 4.3313E+01 3.4912E+01
1.2589E+00 7.6354E+01 6.9780E+01 3.1809E+01 2.5471E+01
1.4125E+00 5.7433E+01 5.1783E+01 2.3184E+01 1.8450E+01
1.5849E+00 4.2995E+01 3.8283E+01 1.6788E+01 1.3297E+01
1.7783E+00 3.1986E+01 2.8221E+01 1.2105E+01 9.5651E+00
1.9953E+00 2.3725E+01 2.0633E+01 8.6665E+00 6.8283E+00
2.2387E+00 1.7458E+01 1.5008E+01 6.1519E+00 4.8250E+00
2.5119E+00 1.2822E+01 1.0871E+01 4.3376E+00 3.3976E+00
2.8184E+00 9.3996E+00 7.8684E+00 3.0495E+00 2.3571E+00
3.1623E+00 6.8647E+00 5.6888E+00 2.1258E+00 1.6343E+00
3.5481E+00 4.9884E+00 4.0918E+00 1.4713E+00 1.1271E+00
3.9811E+00 3.6215E+00 2.9355E+00 1.0162E+00 7.7347E-01
4.4668E+00 2.6184E+00 2.1011E+00 6.9678E-01 5.2913E-01
5.0119E+00 1.8874E+00 1.5008E+00 4.7436E-01 3.5910E-01
5.6234E+00 1.3605E+00 1.0689E+00 3.2181E-01 2.4271E-01
6.3096E+00 9.7772E-01 7.6040E-01 2.1754E-01 1.6442E-01
7.0795E+00 6.9971E-01 5.4102E-01 1.4724E-01 1.1158E-01
7.9433E+00 5.0100E-01 3.8503E-01 9.9131E-02 7.5130E-02
8.9125E+00 3.5831E-01 2.7329E-01 6.6243E-02 5.0252E-02
1.0000E+01 2.5610E-01 1.9363E-01 4.4108E-02 3.3483E-02
1.1220E+01 1.8250E-01 1.3699E-01 2.9445E-02 2.2480E-02
1.2589E+01 1.2995E-01 9.7000E-02 1.9679E-02 1.5021E-02
1.4125E+01 9.2497E-02 6.8813E-02 1.3126E-02 1.0035E-02
1.5849E+01 6.5728E-02 4.8675E-02 8.7494E-03 6.7164E-03
1.7783E+01 4.6696E-02 3.4484E-02 5.8121E-03 4.4561E-03
1.9953E+01 3.3217E-02 2.4445E-02 3.8355E-03 2.9608E-03
2.2387E+01 2.3591E-02 1.7242E-02 2.5508E-03 1.9801E-03
2.5119E+01 1.6704E-02 1.2150E-02 1.7115E-03 1.3290E-03
2.8184E+01 1.1826E-02 8.5818E-03 1.1479E-03 9.0011E-04
3.1623E+01 8.3636E-03 6.0264E-03 7.5773E-04 5.9792E-04
3.5481E+01 5.9054E-03 4.2364E-03 5.0661E-04 4.0099E-04
3.9811E+01 4.1662E-03 2.9736E-03 3.3838E-04 2.6898E-04
4.4668E+01 2.9392E-03 2.0858E-03 2.2703E-04 1.8117E-04
5.0119E+01 2.0707E-03 1.4640E-03 1.5160E-04 1.2213E-04
5.6234E+01 1.4566E-03 1.0248E-03 1.0172E-04 8.1841E-05
6.3096E+01 1.0236E-03 7.1499E-04 6.8731E-05 5.5026E-05
7.0795E+01 7.1966E-04 4.9930E-04 4.6216E-05 3.7153E-05
7.9433E+01 5.0426E-04 3.4894E-04 3.1386E-05 2.5140E-05
