average flux in [cosZ = 0.50 --  0.60, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 9.6120E+03 9.7593E+03 4.6453E+03 4.5704E+03
1.1220E-01 8.5364E+03 8.6469E+03 4.1451E+03 4.0385E+03
1.2589E-01 7.5329E+03 7.6175E+03 3.6642E+03 3.5303E+03
1.4125E-01 6.6066E+03 6.6612E+03 3.2124E+03 3.0619E+03
1.5849E-01 5.7441E+03 5.7683E+03 2.7942E+03 2.6313E+03
1.7783E-01 4.9381E+03 4.9434E+03 2.4114E+03 2.2430E+03
1.9953E-01 4.1989E+03 4.1882E+03 2.0655E+03 1.8999E+03
2.2387E-01 3.5251E+03 3.5119E+03 1.7488E+03 1.5923E+03
2.5119E-01 2.9307E+03 2.9133E+03 1.4674E+03 1.3199E+03
2.8184E-01 2.4156E+03 2.3957E+03 1.2192E+03 1.0819E+03
3.1623E-01 1.9686E+03 1.9524E+03 1.0033E+03 8.7860E+02
3.5481E-01 1.5924E+03 1.5739E+03 8.1775E+02 7.0872E+02
3.9811E-01 1.2795E+03 1.2591E+03 6.5960E+02 5.6617E+02
4.4668E-01 1.0177E+03 9.9815E+02 5.2694E+02 4.4781E+02
5.0119E-01 8.0181E+02 7.8501E+02 4.1762E+02 3.5147E+02
5.6234E-01 6.2595E+02 6.1068E+02 3.2754E+02 2.7223E+02
6.3096E-01 4.8466E+02 4.7018E+02 2.5437E+02 2.0931E+02
7.0795E-01 3.7253E+02 3.6068E+02 1.9550E+02 1.6022E+02
7.9433E-01 2.8492E+02 2.7511E+02 1.4923E+02 1.2089E+02
8.9125E-01 2.1598E+02 2.0819E+02 1.1344E+02 9.0674E+01
1.0000E+00 1.6339E+02 1.5659E+02 8.5000E+01 6.7590E+01
1.1220E+00 1.2310E+02 1.1722E+02 6.3191E+01 5.0098E+01
1.2589E+00 9.2401E+01 8.7374E+01 4.6830E+01 3.6881E+01
1.4125E+00 6.9017E+01 6.4786E+01 3.4487E+01 2.6933E+01
1.5849E+00 5.1317E+01 4.7775E+01 2.5166E+01 1.9545E+01
1.7783E+00 3.7972E+01 3.4977E+01 1.8189E+01 1.4142E+01
1.9953E+00 2.8006E+01 2.5499E+01 1.3127E+01 1.0168E+01
2.2387E+00 2.0589E+01 1.8540E+01 9.4420E+00 7.2271E+00
2.5119E+00 1.5069E+01 1.3464E+01 6.7063E+00 5.1198E+00
2.8184E+00 1.0970E+01 9.7349E+00 4.7186E+00 3.6321E+00
3.1623E+00 7.9657E+00 6.9955E+00 3.3178E+00 2.5286E+00
3.5481E+00 5.7723E+00 5.0157E+00 2.3228E+00 1.7625E+00
3.9811E+00 4.1702E+00 3.5931E+00 1.6178E+00 1.2219E+00
4.4668E+00 3.0081E+00 2.5754E+00 1.1172E+00 8.4243E-01
5.0119E+00 2.1635E+00 1.8336E+00 7.6965E-01 5.7917E-01
