average flux in [cosZ =-0.70 -- -0.60, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 6.9969E+03 7.1257E+03 3.4421E+03 3.3330E+03
1.1220E-01 6.2651E+03 6.3622E+03 3.0890E+03 2.9735E+03
1.2589E-01 5.5782E+03 5.6442E+03 2.7456E+03 2.6202E+03
1.4125E-01 4.9352E+03 4.9807E+03 2.4184E+03 2.2861E+03
1.5849E-01 4.3218E+03 4.3521E+03 2.1119E+03 1.9801E+03
1.7783E-01 3.7365E+03 3.7538E+03 1.8328E+03 1.6944E+03
1.9953E-01 3.1957E+03 3.2040E+03 1.5774E+03 1.4371E+03
2.2387E-01 2.7048E+03 2.7053E+03 1.3389E+03 1.2119E+03
2.5119E-01 2.2649E+03 2.2598E+03 1.1266E+03 1.0123E+03
2.8184E-01 1.8750E+03 1.8699E+03 9.4083E+02 8.3559E+02
3.1623E-01 1.5385E+03 1.5297E+03 7.7579E+02 6.8242E+02
3.5481E-01 1.2520E+03 1.2395E+03 6.3256E+02 5.5163E+02
3.9811E-01 1.0106E+03 9.9717E+02 5.1186E+02 4.4147E+02
4.4668E-01 8.0793E+02 7.9534E+02 4.1034E+02 3.5042E+02
5.0119E-01 6.4042E+02 6.2868E+02 3.2575E+02 2.7588E+02
5.6234E-01 5.0434E+02 4.9213E+02 2.5591E+02 2.1532E+02
6.3096E-01 3.9458E+02 3.8285E+02 1.9945E+02 1.6701E+02
7.0795E-01 3.0626E+02 2.9610E+02 1.5389E+02 1.2806E+02
7.9433E-01 2.3562E+02 2.2707E+02 1.1820E+02 9.7345E+01
8.9125E-01 1.8089E+02 1.7319E+02 8.9878E+01 7.3834E+01
1.0000E+00 1.3822E+02 1.3165E+02 6.7772E+01 5.5270E+01
1.1220E+00 1.0523E+02 9.9465E+01 5.0826E+01 4.1156E+01
1.2589E+00 7.9753E+01 7.4711E+01 3.7820E+01 3.0475E+01
1.4125E+00 6.0159E+01 5.5899E+01 2.7967E+01 2.2460E+01
1.5849E+00 4.5238E+01 4.1639E+01 2.0609E+01 1.6403E+01
1.7783E+00 3.3863E+01 3.0774E+01 1.4999E+01 1.1888E+01
