average flux in [cosZ = 0.20 --  0.30, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.4376E+04 1.4597E+04 6.8212E+03 6.7763E+03
1.1220E-01 1.2369E+04 1.2516E+04 5.9406E+03 5.8442E+03
1.2589E-01 1.0586E+04 1.0689E+04 5.1271E+03 4.9885E+03
1.4125E-01 9.0123E+03 9.0690E+03 4.3780E+03 4.2072E+03
1.5849E-01 7.6092E+03 7.6191E+03 3.7145E+03 3.5256E+03
1.7783E-01 6.3517E+03 6.3460E+03 3.1244E+03 2.9327E+03
1.9953E-01 5.2478E+03 5.2424E+03 2.6120E+03 2.4143E+03
2.2387E-01 4.2968E+03 4.2801E+03 2.1660E+03 1.9815E+03
2.5119E-01 3.4779E+03 3.4563E+03 1.7796E+03 1.6138E+03
2.8184E-01 2.7972E+03 2.7731E+03 1.4520E+03 1.2975E+03
3.1623E-01 2.2344E+03 2.2090E+03 1.1744E+03 1.0342E+03
3.5481E-01 1.7677E+03 1.7473E+03 9.4235E+02 8.1990E+02
3.9811E-01 1.3919E+03 1.3731E+03 7.4973E+02 6.4822E+02
4.4668E-01 1.0914E+03 1.0746E+03 5.9268E+02 5.0770E+02
5.0119E-01 8.5174E+02 8.3612E+02 4.6713E+02 3.9464E+02
5.6234E-01 6.6071E+02 6.4519E+02 3.6609E+02 3.0672E+02
6.3096E-01 5.0919E+02 4.9593E+02 2.8355E+02 2.3719E+02
7.0795E-01 3.9094E+02 3.8007E+02 2.1877E+02 1.8144E+02
7.9433E-01 2.9888E+02 2.8943E+02 1.6785E+02 1.3806E+02
8.9125E-01 2.2690E+02 2.2052E+02 1.2848E+02 1.0465E+02
1.0000E+00 1.7268E+02 1.6706E+02 9.7666E+01 7.9240E+01
1.1220E+00 1.3109E+02 1.2644E+02 7.3659E+01 5.9457E+01
1.2589E+00 9.9049E+01 9.5456E+01 5.5652E+01 4.4578E+01
1.4125E+00 7.4498E+01 7.1556E+01 4.1785E+01 3.3360E+01
1.5849E+00 5.6060E+01 5.3340E+01 3.1168E+01 2.4836E+01
1.7783E+00 4.1967E+01 3.9666E+01 2.3244E+01 1.8365E+01
1.9953E+00 3.1111E+01 2.9500E+01 1.7146E+01 1.3516E+01
2.2387E+00 2.3113E+01 2.1751E+01 1.2617E+01 9.8814E+00
2.5119E+00 1.7093E+01 1.5902E+01 9.2271E+00 7.1819E+00
2.8184E+00 1.2508E+01 1.1677E+01 6.6937E+00 5.1905E+00
3.1623E+00 9.1663E+00 8.5331E+00 4.8379E+00 3.7229E+00
3.5481E+00 6.7093E+00 6.1977E+00 3.4671E+00 2.6589E+00
3.9811E+00 4.8891E+00 4.4807E+00 2.4800E+00 1.8871E+00
4.4668E+00 3.5331E+00 3.2360E+00 1.7669E+00 1.3290E+00
5.0119E+00 2.5499E+00 2.3384E+00 1.2512E+00 9.3555E-01
5.6234E+00 1.8395E+00 1.6752E+00 8.7988E-01 6.5981E-01
6.3096E+00 1.3276E+00 1.1958E+00 6.1502E-01 4.6061E-01
7.0795E+00 9.5490E-01 8.5761E-01 4.2675E-01 3.1961E-01
7.9433E+00 6.8408E-01 6.1101E-01 2.9573E-01 2.2122E-01
8.9125E+00 4.9001E-01 4.3294E-01 2.0486E-01 1.5341E-01
1.0000E+01 3.5051E-01 3.0790E-01 1.4096E-01 1.0564E-01
1.1220E+01 2.5012E-01 2.1834E-01 9.7123E-02 7.2455E-02
1.2589E+01 1.7894E-01 1.5488E-01 6.6814E-02 4.9714E-02
1.4125E+01 1.2785E-01 1.0954E-01 4.5536E-02 3.3923E-02
1.5849E+01 9.1244E-02 7.7747E-02 3.0819E-02 2.3022E-02
1.7783E+01 6.5516E-02 5.5311E-02 2.0759E-02 1.5724E-02
1.9953E+01 4.6818E-02 3.8963E-02 1.4025E-02 1.0685E-02
2.2387E+01 3.3316E-02 2.7579E-02 9.5793E-03 7.1799E-03
2.5119E+01 2.3736E-02 1.9503E-02 6.4171E-03 4.8251E-03
2.8184E+01 1.6858E-02 1.3920E-02 4.2545E-03 3.2611E-03
3.1623E+01 1.2118E-02 9.8309E-03 2.9097E-03 2.2254E-03
3.5481E+01 8.6420E-03 6.9550E-03 1.9480E-03 1.4956E-03
3.9811E+01 6.1569E-03 4.9167E-03 1.3023E-03 1.0015E-03
4.4668E+01 4.3881E-03 3.4757E-03 8.6836E-04 6.7036E-04
5.0119E+01 3.1210E-03 2.4570E-03 5.7924E-04 4.4995E-04
5.6234E+01 2.2175E-03 1.7354E-03 3.8593E-04 3.0015E-04
6.3096E+01 1.5797E-03 1.2228E-03 2.5649E-04 2.0027E-04
7.0795E+01 1.1227E-03 8.5998E-04 1.7005E-04 1.3323E-04
7.9433E+01 7.9642E-04 6.0580E-04 1.1319E-04 8.8543E-05
8.9125E+01 5.6411E-04 4.2664E-04 7.5125E-05 5.9064E-05
1.0000E+02 3.9949E-04 3.0014E-04 4.9518E-05 3.9146E-05
1.1220E+02 2.8256E-04 2.1050E-04 3.2808E-05 2.6063E-05
1.2589E+02 1.9979E-04 1.4760E-04 2.1752E-05 1.7325E-05
1.4125E+02 1.4085E-04 1.0354E-04 1.4435E-05 1.1507E-05
1.5849E+02 9.9206E-05 7.2337E-05 9.5750E-06 7.6532E-06
1.7783E+02 6.9819E-05 5.0467E-05 6.3624E-06 5.0839E-06
1.9953E+02 4.9075E-05 3.5227E-05 4.2282E-06 3.3700E-06
2.2387E+02 3.4491E-05 2.4543E-05 2.8066E-06 2.2383E-06
2.5119E+02 2.4178E-05 1.7109E-05 1.8658E-06 1.4981E-06
2.8184E+02 1.6948E-05 1.1913E-05 1.2368E-06 1.0045E-06
3.1623E+02 1.1908E-05 8.2715E-06 8.2388E-07 6.6664E-07
3.5481E+02 8.3342E-06 5.7357E-06 5.5070E-07 4.4537E-07
3.9811E+02 5.8346E-06 3.9830E-06 3.6800E-07 2.9874E-07
4.4668E+02 4.0825E-06 2.7641E-06 2.4537E-07 1.9971E-07
5.0119E+02 2.8507E-06 1.9120E-06 1.6402E-07 1.3239E-07
5.6234E+02 1.9902E-06 1.3258E-06 1.1071E-07 8.8869E-08
6.3096E+02 1.3870E-06 9.1592E-07 7.4124E-08 5.9610E-08
7.0795E+02 9.6672E-07 6.3286E-07 4.9925E-08 3.9863E-08
7.9433E+02 6.7313E-07 4.3677E-07 3.3475E-08 2.6847E-08
8.9125E+02 4.6818E-07 3.0151E-07 2.2275E-08 1.7932E-08
1.0000E+03 3.2596E-07 2.0791E-07 1.4951E-08 1.1916E-08
1.1220E+03 2.2519E-07 1.4247E-07 1.0084E-08 7.8985E-09
1.2589E+03 1.5584E-07 9.7929E-08 6.7451E-09 5.2587E-09
1.4125E+03 1.0763E-07 6.7267E-08 4.5428E-09 3.5294E-09
1.5849E+03 7.4356E-08 4.6072E-08 3.0768E-09 2.3771E-09
1.7783E+03 5.1265E-08 3.1438E-08 2.0746E-09 1.5816E-09
1.9953E+03 3.5147E-08 2.1431E-08 1.3750E-09 1.0468E-09
2.2387E+03 2.4116E-08 1.4600E-08 9.2245E-10 6.9518E-10
2.5119E+03 1.6501E-08 9.9033E-09 6.1756E-10 4.6432E-10
2.8184E+03 1.1256E-08 6.7251E-09 4.1448E-10 3.0884E-10
3.1623E+03 7.8112E-09 4.6291E-09 2.7281E-10 2.0194E-10
3.5481E+03 5.2210E-09 3.0654E-09 1.7980E-10 1.3355E-10
3.9811E+03 3.5361E-09 2.0646E-09 1.2015E-10 9.0249E-11
4.4668E+03 2.3941E-09 1.3900E-09 8.1003E-11 5.9357E-11
5.0119E+03 1.6150E-09 9.3194E-10 5.3737E-11 3.8432E-11
5.6234E+03 1.0830E-09 6.2271E-10 3.5060E-11 2.5055E-11
6.3096E+03 7.2928E-10 4.1473E-10 2.3030E-11 1.6703E-11
7.0795E+03 4.8887E-10 2.7642E-10 1.5440E-11 1.1029E-11
