average flux in [cosZ = 0.70 --  0.80, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 8.6796E+03 8.8204E+03 4.2379E+03 4.1452E+03
1.1220E-01 7.8133E+03 7.9151E+03 3.8156E+03 3.6995E+03
1.2589E-01 6.9874E+03 7.0567E+03 3.4029E+03 3.2654E+03
1.4125E-01 6.1994E+03 6.2358E+03 3.0068E+03 2.8540E+03
1.5849E-01 5.4341E+03 5.4555E+03 2.6291E+03 2.4691E+03
1.7783E-01 4.7099E+03 4.7174E+03 2.2762E+03 2.1164E+03
1.9953E-01 4.0348E+03 4.0298E+03 1.9547E+03 1.7954E+03
2.2387E-01 3.4118E+03 3.3960E+03 1.6615E+03 1.5079E+03
2.5119E-01 2.8488E+03 2.8309E+03 1.3972E+03 1.2544E+03
2.8184E-01 2.3552E+03 2.3355E+03 1.1623E+03 1.0283E+03
3.1623E-01 1.9270E+03 1.9043E+03 9.5436E+02 8.3487E+02
3.5481E-01 1.5584E+03 1.5367E+03 7.7448E+02 6.7087E+02
3.9811E-01 1.2485E+03 1.2279E+03 6.2290E+02 5.3316E+02
4.4668E-01 9.9068E+02 9.7106E+02 4.9639E+02 4.1881E+02
5.0119E-01 7.7843E+02 7.5951E+02 3.9011E+02 3.2622E+02
5.6234E-01 6.0680E+02 5.8870E+02 3.0351E+02 2.5164E+02
6.3096E-01 4.6874E+02 4.5252E+02 2.3406E+02 1.9194E+02
7.0795E-01 3.5847E+02 3.4436E+02 1.7860E+02 1.4505E+02
7.9433E-01 2.7252E+02 2.6042E+02 1.3484E+02 1.0849E+02
8.9125E-01 2.0622E+02 1.9591E+02 1.0117E+02 8.0748E+01
1.0000E+00 1.5540E+02 1.4664E+02 7.5273E+01 5.9736E+01
1.1220E+00 1.1667E+02 1.0920E+02 5.5458E+01 4.3647E+01
1.2589E+00 8.7169E+01 8.0816E+01 4.0623E+01 3.1775E+01
1.4125E+00 6.4934E+01 5.9606E+01 2.9538E+01 2.3078E+01
1.5849E+00 4.8323E+01 4.3795E+01 2.1291E+01 1.6581E+01
1.7783E+00 3.5682E+01 3.2028E+01 1.5325E+01 1.1821E+01
1.9953E+00 2.6141E+01 2.3258E+01 1.0978E+01 8.4058E+00
2.2387E+00 1.9126E+01 1.6841E+01 7.7278E+00 5.9635E+00
2.5119E+00 1.3967E+01 1.2152E+01 5.4484E+00 4.1882E+00
2.8184E+00 1.0181E+01 8.7270E+00 3.8313E+00 2.9096E+00
3.1623E+00 7.4075E+00 6.2869E+00 2.6620E+00 2.0271E+00
3.5481E+00 5.3620E+00 4.5013E+00 1.8446E+00 1.4003E+00
3.9811E+00 3.8685E+00 3.2199E+00 1.2697E+00 9.6024E-01
4.4668E+00 2.7902E+00 2.3029E+00 8.7306E-01 6.5749E-01
5.0119E+00 2.0088E+00 1.6440E+00 5.9662E-01 4.5108E-01
5.6234E+00 1.4435E+00 1.1695E+00 4.0575E-01 3.0725E-01
6.3096E+00 1.0373E+00 8.3200E-01 2.7575E-01 2.0858E-01
7.0795E+00 7.4400E-01 5.9164E-01 1.8624E-01 1.4136E-01
7.9433E+00 5.3297E-01 4.1930E-01 1.2552E-01 9.5509E-02
8.9125E+00 3.8227E-01 2.9719E-01 8.4007E-02 6.4293E-02
1.0000E+01 2.7186E-01 2.1108E-01 5.6552E-02 4.2754E-02
1.1220E+01 1.9364E-01 1.4935E-01 3.7938E-02 2.8699E-02
1.2589E+01 1.3784E-01 1.0583E-01 2.5400E-02 1.9200E-02
1.4125E+01 9.8298E-02 7.5031E-02 1.6890E-02 1.2857E-02
1.5849E+01 6.9828E-02 5.3125E-02 1.1180E-02 8.6192E-03
1.7783E+01 4.9735E-02 3.7591E-02 7.4770E-03 5.7368E-03
1.9953E+01 3.5494E-02 2.6590E-02 4.9529E-03 3.8189E-03
2.2387E+01 2.5194E-02 1.8742E-02 3.3057E-03 2.5615E-03
2.5119E+01 1.7898E-02 1.3288E-02 2.2008E-03 1.7095E-03
