average flux in [cosZ = 0.10 --  0.20, phi_Az =   0 -- 360]
Enu        NuMu       NuMubar    NuE        NuEbar  
1.0000E-01 1.9777E+04 2.0133E+04 9.3253E+03 9.2988E+03
1.1220E-01 1.6760E+04 1.7011E+04 8.0360E+03 7.9345E+03
1.2589E-01 1.4147E+04 1.4291E+04 6.8386E+03 6.6801E+03
1.4125E-01 1.1891E+04 1.1952E+04 5.7561E+03 5.5592E+03
1.5849E-01 9.8888E+03 9.8969E+03 4.8124E+03 4.5988E+03
1.7783E-01 8.1271E+03 8.1201E+03 4.0071E+03 3.7728E+03
1.9953E-01 6.6058E+03 6.5842E+03 3.3150E+03 3.0615E+03
2.2387E-01 5.3170E+03 5.2751E+03 2.7138E+03 2.4690E+03
2.5119E-01 4.2325E+03 4.1946E+03 2.1937E+03 1.9780E+03
2.8184E-01 3.3380E+03 3.3112E+03 1.7632E+03 1.5704E+03
3.1623E-01 2.6147E+03 2.5927E+03 1.4058E+03 1.2378E+03
3.5481E-01 2.0414E+03 2.0136E+03 1.1134E+03 9.6571E+02
3.9811E-01 1.5833E+03 1.5679E+03 8.7151E+02 7.4843E+02
4.4668E-01 1.2210E+03 1.2047E+03 6.7832E+02 5.7717E+02
5.0119E-01 9.4033E+02 9.1781E+02 5.2631E+02 4.4372E+02
5.6234E-01 7.2006E+02 7.0373E+02 4.0621E+02 3.4020E+02
6.3096E-01 5.4655E+02 5.3659E+02 3.1183E+02 2.5934E+02
7.0795E-01 4.1510E+02 4.0714E+02 2.3814E+02 1.9654E+02
7.9433E-01 3.1518E+02 3.0771E+02 1.8156E+02 1.4816E+02
8.9125E-01 2.3717E+02 2.3135E+02 1.3763E+02 1.1176E+02
1.0000E+00 1.7880E+02 1.7420E+02 1.0361E+02 8.4342E+01
1.1220E+00 1.3505E+02 1.3123E+02 7.8248E+01 6.3302E+01
1.2589E+00 1.0200E+02 9.8444E+01 5.8784E+01 4.7537E+01
1.4125E+00 7.6854E+01 7.3547E+01 4.4130E+01 3.5434E+01
1.5849E+00 5.7684E+01 5.4981E+01 3.3066E+01 2.6387E+01
1.7783E+00 4.3167E+01 4.1161E+01 2.4644E+01 1.9553E+01
1.9953E+00 3.2309E+01 3.0620E+01 1.8377E+01 1.4504E+01
2.2387E+00 2.4052E+01 2.2670E+01 1.3628E+01 1.0731E+01
2.5119E+00 1.7795E+01 1.6852E+01 1.0055E+01 7.8323E+00
2.8184E+00 1.3025E+01 1.2407E+01 7.3842E+00 5.7449E+00
3.1623E+00 9.6133E+00 9.0835E+00 5.4014E+00 4.1994E+00
3.5481E+00 7.0733E+00 6.6371E+00 3.9284E+00 3.0422E+00
3.9811E+00 5.1622E+00 4.8269E+00 2.8466E+00 2.1861E+00
4.4668E+00 3.7584E+00 3.5170E+00 2.0547E+00 1.5649E+00
5.0119E+00 2.7294E+00 2.5537E+00 1.4620E+00 1.1256E+00
5.6234E+00 1.9761E+00 1.8380E+00 1.0435E+00 7.9885E-01
6.3096E+00 1.4338E+00 1.3300E+00 7.4781E-01 5.6574E-01
7.0795E+00 1.0394E+00 9.5559E-01 5.2806E-01 3.9919E-01
7.9433E+00 7.5279E-01 6.8553E-01 3.7132E-01 2.7955E-01
8.9125E+00 5.3950E-01 4.9404E-01 2.6311E-01 1.9626E-01
1.0000E+01 3.8560E-01 3.5208E-01 1.8414E-01 1.3803E-01
1.1220E+01 2.7709E-01 2.5110E-01 1.2824E-01 9.5881E-02
1.2589E+01 1.9806E-01 1.7846E-01 8.9256E-02 6.6367E-02
1.4125E+01 1.4187E-01 1.2684E-01 6.1526E-02 4.5981E-02
1.5849E+01 1.0127E-01 9.0161E-02 4.2259E-02 3.1718E-02
1.7783E+01 7.2302E-02 6.4075E-02 2.9113E-02 2.1893E-02
1.9953E+01 5.1692E-02 4.5371E-02 1.9920E-02 1.4998E-02
2.2387E+01 3.6987E-02 3.2070E-02 1.3703E-02 1.0278E-02
2.5119E+01 2.6703E-02 2.2933E-02 9.3117E-03 7.0284E-03
2.8184E+01 1.9017E-02 1.6323E-02 6.2394E-03 4.8245E-03
3.1623E+01 1.3573E-02 1.1559E-02 4.3278E-03 3.2961E-03
3.5481E+01 9.6916E-03 8.1828E-03 2.9261E-03 2.2346E-03
3.9811E+01 6.9207E-03 5.7922E-03 1.9752E-03 1.5111E-03
4.4668E+01 4.9392E-03 4.0968E-03 1.3285E-03 1.0224E-03
5.0119E+01 3.5228E-03 2.8992E-03 8.9209E-04 6.8821E-04
5.6234E+01 2.5135E-03 2.0470E-03 5.9869E-04 4.6128E-04
6.3096E+01 1.7891E-03 1.4446E-03 4.0051E-04 3.0868E-04
7.0795E+01 1.2716E-03 1.0189E-03 2.6774E-04 2.0703E-04
7.9433E+01 9.0579E-04 7.1812E-04 1.7808E-04 1.3861E-04
8.9125E+01 6.4479E-04 5.0720E-04 1.1873E-04 9.2729E-05
1.0000E+02 4.5754E-04 3.5747E-04 7.8885E-05 6.1706E-05
1.1220E+02 3.2445E-04 2.5134E-04 5.2352E-05 4.1023E-05
1.2589E+02 2.2996E-04 1.7664E-04 3.4695E-05 2.7215E-05
1.4125E+02 1.6269E-04 1.2404E-04 2.2911E-05 1.8063E-05
1.5849E+02 1.1507E-04 8.6833E-05 1.5140E-05 1.1982E-05
1.7783E+02 8.1306E-05 6.0796E-05 1.0019E-05 7.9586E-06
1.9953E+02 5.7318E-05 4.2564E-05 6.6166E-06 5.2924E-06
2.2387E+02 4.0363E-05 2.9725E-05 4.3813E-06 3.4933E-06
2.5119E+02 2.8451E-05 2.0713E-05 2.9029E-06 2.2966E-06
2.8184E+02 2.0026E-05 1.4423E-05 1.9141E-06 1.5282E-06
3.1623E+02 1.4045E-05 1.0063E-05 1.2625E-06 1.0103E-06
3.5481E+02 9.8520E-06 7.0023E-06 8.3564E-07 6.6926E-07
3.9811E+02 6.9010E-06 4.8673E-06 5.5491E-07 4.4613E-07
